Character,Source,Img,Name,Type,Target,Formula,Mutiplier,Element,Time,Effects,Counter,Auto Target,SB,School
Tyro,Keeper's Tome,,Book of Despair,PHY,Single enemy,Physical,2.10,-,1.65,"One single attack (2.10), ATK and MAG -20% for 15 seconds",Y,Random enemy,60,Support
Tyro,Keeper's Tome,,Book of Retribution,PHY,Single enemy,Physical,2.10,-,1.65,"One single attack (2.10), DEF and RES -20% for 15 seconds",Y,Random enemy,60,Support
Elarra,Magika Coat,,Pulchra Magika,NAT,Self,,,,1.65,"MND +20% for 25 seconds, grants Quick Cast 3",Y,Self,50,White Magic
Elarra,Magika Coat,,Fomenta Magika,WHT,All allies,Magical,2.00,Holy,1.65,"Restores HP (25), damages undeads",Y,All allies,50,White Magic
Warrior of Light,Ultimate Shield,,Stroke of Light,PHY,Single enemy,Physical,2.40,"Holy, NE",1.65,1/2/3/4/5 single attacks (0.48 each) at 327/654/1700/2490 DEF,Y,Lowest HP% enemy,50,Knight
Warrior of Light,Ultimate Shield,,Crystalize,PHY,All enemies,Physical,1.30,"Holy, NE",1.65,"Two group attacks (0.65 each), DEF +50% to the user for 25 seconds",Y,All enemies,50,Knight
Garland,Dark Rebirth,,Deathblow,PHY,Single enemy,Physical,2.30,Dark,1.65,"One single attack (2.30), heals the user for 20% of the damage dealt",Y,Lowest HP% enemy,50,Darkness
Garland,Dark Rebirth,,Wave of Darkness,PHY,All enemies,Physical,1.26,Dark,1.65,"Two group ranged attacks (0.63 each), 80% additional critical chance",Y,All enemies,50,Darkness
Garland,Twin Swords,,Chain Cast,PHY,Single enemy,Physical,0.80,"Dark, NE",1.65,Two single attacks (0.40 each),Y,Lowest HP% enemy,50,Darkness
Garland,Twin Swords,,Twist Drill,PHY,Single enemy,Physical,2.16,"Dark, NE",1.65,"4/5/6/7 single attacks (0.54/0.89/1.05/1.25 each) scaling with Chain Cast uses, 0/5/10/25% additional critical chance",Y,Lowest HP% enemy,50,Darkness
Sarah,Age-old Hymn,,Inviolate Prayer,WHT,Single ally,Magical,3.00,Holy,0.01,"Restores HP (80), grants High Regen, damages undeads",N,Lowest HP% ally,50,White Magic
Sarah,Age-old Hymn,,Simple Plea,WHT,All allies,Magical,2.00,Holy,1.65,"Restores HP (25), damages undeads",N,All allies,50,White Magic
Wol,Shijin Spiral,,Sneaky Attack,PHY,Single enemy,Physical,2.60,-,1.65,"Four single attacks (0.65 each), causes Stun (9%)",Y,Lowest HP% enemy,50,Combat
Wol,Shijin Spiral,,Break Slayer,PHY,All enemies,Physical,2.40,-,1.65,"Two group attacks (1.20 each), ATK and DEF -20% for 15 seconds",Y,All enemies,50,Support
Wol,Howl of Hell,,Reaver's Impact,PHY,Single enemy,Physical,1.95,"Earth, Holy",1.65,"Three single attacks (0.65 each), grants Heavy Charge +1 to the user",Y,Lowest HP% enemy,50,Heavy
Wol,Howl of Hell,,Heavy Break,PHY,Single enemy,Physical,2.32,"Earth, Holy",1.65,"Four single attacks (0.58 each), ATK and MAG -20/30/50% for 15 seconds at Heavy Charge 0/1/2, Heavy Charge =0 to the user",Y,Random enemy without status,50,Heavy
Echo,Echo's Prize,,Punishing Thunder,BLK,Single enemy,Magical,10.48,"Lightning, NE",1.65,Four single attacks (2.62 each),Y,Lowest HP% enemy,50,Black Magic
Echo,Echo's Prize,,Magic Meddling,NAT,All enemies,,,,1.65,"MAG -40%, causes Stop (20%)",N,All enemies,50,Special
Echo,Echoing Mischief,,Faltering Blade,BLK,Single enemy,Magical,4.90,"Holy, NE",1.65,"One single attack (4.90), ATK -40% for 15 seconds",Y,Random enemy without status,50,Black Magic
Echo,Echoing Mischief,,Faltering Magic,BLK,Single enemy,Magical,4.90,"Holy, NE",1.65,"One single attack (4.90), MAG -50% for 15 seconds",Y,Random enemy without status,50,Black Magic
Master,Show of Courage,,Storm and Strife,PHY,Single enemy,Physical,1.60,-,1.65,"Four single attacks (0.40 each), eight attacks if the user has Unbound Fury",Y,Lowest HP% enemy,50,Monk
Master,Show of Courage,,Bitter Blow,PHY,Single enemy,Physical,2.40,-,1.65,"Four single attacks (0.60 each), grants Unbound Fury to the user for 25 seconds",Y,Lowest HP% enemy,50,Monk
Matoya,Inner Eye,,Firefrost Chant,BLK,Single enemy,Magical,10.48,"Fire, Ice",1.65,Four single attacks (2.62 each),Y,Lowest HP% enemy,50,Black Magic
Matoya,Inner Eye,,Flamebolt Chant,BLK,Single enemy,Magical,10.48,"Fire, Lightning",1.65,Four single attacks (2.62 each),Y,Lowest HP% enemy,50,Black Magic
Meia,Famfrit,,Pallida Fructus,SUM,Self,,,,1.65,"Grants Magic Bargain to the user for 20 seconds, grants Summon Famfrit to the user",N,Self,50,Summoning
Meia,Famfrit,,Pallida Fructus (S),SUM,All enemies,Magical,17.00,"Water, NE",1.65,"Four group attacks (4.25 each), minimum damage 1100, removes Summon Famfrit to the user",N,All enemies,50,Summoning
Meia,Famfrit,,Pallida Schelling,SUM,Single enemy,Magical,8.96,"Water, NE",1.65,"Four single attacks (2.24 each), minimum damage 1100",N,Lowest HP% enemy,50,Summoning
Meia,Famfrit,,Pallida Schelling (S),SUM,Single enemy,Magical,9.96,"Water, NE",1.65,"Four single attacks (2.49 each), minimum damage 1100",N,Lowest HP% enemy,50,Summoning
Thief (I),Invisibreak,,Storm Trick,PHY,Single enemy,Physical,2.20,"Wind, Poison",1.2,"Four single attacks (0.55 each), grants Thief Quick Cast 2 to the user",N,Lowest HP% enemy,50,Thief
Thief (I),Invisibreak,,Storm Break,PHY,Single enemy,Physical,2.20,"Wind, Poison",1.2,"Two single attacks (1.10 each), DEF -40% for 15 seconds",N,Random enemy without status,50,Thief
Firion,Weaponsmaster,,Chain Strike,PHY,Single enemy,Physical,0.52,"Holy, NE",1.65,1/2/3/4/5/6/7/8 single ranged attacks (0.52 each) scaling with uses,Y,Lowest HP% enemy,50,Combat
Firion,Weaponsmaster,,Chain Launch,PHY,Single enemy,Physical,1.68,"Holy, NE",1.65,"Four single attacks (0.42 each), grants Cast Speed *999 to the user for 1 turn",Y,Lowest HP% enemy,50,Combat
Maria,Meteor XVI,,Break,BLK,Single enemy,Magical,12.00,"Earth, NE",1.65,"3/4/5/6 single attacks (2.00 each) at 624/973/1032 MAG, causes Petrify (5%)",Y,Lowest HP% enemy,50,Black Magic
Maria,Meteor XVI,,Sunfire,BLK,All enemies,Magical,6.18,"Earth, Fire",1.65,"Two group attacks (3.09 each), grants Magic Bargain to the user for 20 seconds",Y,All enemies,50,Black Magic
Guy,Gigantbreak,,Stony Fang,PHY,Single enemy,Physical,0.56,"Earth, NE",1.65,"Four single attacks (0.14 each), multiplier increases with user's ATK",Y,Lowest HP% enemy,50,Combat
Guy,Gigantbreak,,Colossal Strength,PHY,All enemies,Physical,1.30,"Earth, NE",1.65,"Two group attacks (0.65 each), grants Dark Bargain to the user for 20 seconds",Y,All enemies,50,Combat
Leon,Dark Knight's Charge,,Blood Spoils,PHY,Single enemy,Physical,2.30,Dark,1.65,"One single attack (2.30), heals the user for 20% of the damage dealt",Y,Lowest HP% enemy,50,Darkness
Leon,Dark Knight's Charge,,Ambition's Price,PHY,Single enemy,Physical,2.06,Dark,1.65,"Two single attacks (1.03 each), grants Hailstorm to the user for 20 seconds",Y,Lowest HP% enemy,50,Darkness
Minwu,Seal of Heaven,,Cure X,WHT,Single ally,Magical,4.00,Holy,0.01,"Restores HP (105), damages undeads",Y,Lowest HP% ally,50,White Magic
Minwu,Seal of Heaven,,Sap XVI,WHT,All enemies,Magical,6.08,Holy,1.65,"Two group attacks (3.04 each), MAG and MND -20% for 15 seconds",Y,All enemies,50,White Magic
Minwu,Holy XVI,,Magic Emblem,WHT,Single enemy,Magical,10.40,"Holy, NE",1.65,Four single attacks (2.60 each),Y,Lowest HP% enemy,50,White Magic
Minwu,Holy XVI,,Light of Relief,WHT,Single ally,Magical,4.00,Holy,0.01,"Restores HP (105), damages undeads",Y,Lowest HP% ally,50,White Magic
Gordon,Egil's Blaze,,Royal Resolve,PHY,Single enemy,Physical,2.30,-,1.65,"One single attack (2.30), ATK - 40% for 15 seconds",Y,Random enemy without status,50,Support
Gordon,Egil's Blaze,,Survivor's Will,PHY,Single enemy,Physical,2.30,-,1.65,"One single attack (2.30), DEF -40% for 15 seconds",Y,Random enemy without status,50,Support
Leila,Poison Cloud XVI,,Poison Sting,PHY,Single enemy,Physical,1.88,"Poison, NE",0.6,Four single attacks (0.47 each),Y,Lowest HP% enemy,50,Thief
Leila,Poison Cloud XVI,,Pirate's Venom,PHY,Single enemy,Physical,1.72,"Poison, NE",1.2,"Two single attacks (0.86 each), ATK and MND -20% for 20 seconds, ATK and MND +20% to the user for 20 seconds",Y,Random enemy without status,50,Thief
Ricard,Pride of Deist,,Dragon Bloodwind,PHY,Single enemy,Physical,1.96,"Wind, NE",1.65,"Two single ranged attacks (0.98 each), grants No Air Time 2 to the user",Y,Lowest HP% enemy,50,Dragoon
Ricard,Pride of Deist,,Wyvern's Grace,PHY,Single enemy,Physical,1.88,"Wind, NE",1.65,"Four single attacks (0.47 each), grants Dragoon +9% Boost 3 to the user",Y,Lowest HP% enemy,50,Dragoon
Josef,Undaunted Hero,,Ice Breaker,PHY,Single enemy,Physical,1.41,"Ice, NE",1.65,"Three single attacks (0.47 each), six attacks if the user has Unbound Fury",Y,Lowest HP% enemy,50,Monk
Josef,Undaunted Hero,,Man of Snow,PHY,Single enemy,Physical,1.88,"Ice, NE",1.65,"Four single attacks (0.47 each), grants Unbound Fury to the user for 25 seconds",Y,Lowest HP% enemy,50,Monk
Emperor,Winds of War,,Binding Gale,BLK,Single enemy,Magical,8.68,"Wind, Dark",1.65,"Four single attacks (2.17 each), causes Stun (9%)",Y,Lowest HP% enemy,50,Black Magic
Emperor,Winds of War,,Leeching Winds,BLK,Single enemy,Magical,7.96,"Wind, Dark",1.65,"One single attack (7.96), heals the user for 20% of the damage dealt",Y,Lowest HP% enemy,50,Black Magic
Emperor,Hell's Maw,,Ruthless Ploy,BLK,Single enemy,Magical,7.72,"Earth, Dark",1.65,"Four single attacks (1.93 each), grants Quick Cast 2 to the user",Y,Lowest HP% enemy,50,Black Magic
Emperor,Hell's Maw,,Onyx Crest,BLK,Single enemy,Magical,4.06,"Earth, Dark",1.65,"Two single attacks (2.03 each), MAG -50% for 15 seconds",Y,Random enemy without status,50,Black Magic
Hilda,Prayer for Peace,,Graceful Minuet,WHT,Single ally,Magical,4.00,Holy,0.01,"Restores HP (105), damages undeads",Y,Lowest HP% ally,50,White Magic
Hilda,Prayer for Peace,,Song of Tranquility,WHT,All allies,Magical,2.00,Holy,1.65,"Restores HP (25), damages undeads",Y,All allies,50,White Magic
Scott,Scathing Sun,,Mark of Destruction,PHY,Single enemy,Physical,1.68,"Fire, NE",1.65,"Three single attacks (0.56 each), grants Spellblade +15% Boost 3 to the user",Y,Lowest HP% enemy,50,Spellblade
Scott,Scathing Sun,,Fiery Vanguard,PHY,All enemies,Physical,1.30,"Fire, NE",1.65,"Two group attacks (0.65 each), grants Dark Bargain to the user for 20 seconds",Y,Lowest HP% enemy,50,Spellblade
Luneth,Eternal Wind,,Pummeling Gale,PHY,Single enemy,Physical,1.96,"Wind, NE",1.65,"Four single ranged attacks (0.49 each), causes Stun (9%)",Y,Lowest HP% enemy,50,Combat
Luneth,Eternal Wind,,Roaring Winds,PHY,All enemies,Physical,1.30,"Wind, NE",1.65,"Two group ranged attacks (0.65 each), grants Hailstorm to the user for 20 seconds",Y,All enemies,50,Combat
Arc,Auroral Grace,,Dedication to Purity,WHT,Single,Magical,3.00,Holy,1.65,"Restores HP (80), damages undeads, removes negative effects",N,Lowest HP% ally,50,White Magic
Arc,Auroral Grace,,Dedication to Healing,WHT,All allies,Magical,2.00,Holy,1.65,"Restores HP (25), damages undeads",N,All allies,50,White Magic
Arc,Break of Valor,,Dia Deluge,WHT,Single enemy,Magical,10.40,"Holy, Water",1.65,Four single attacks (2.60 each),Y,Lowest HP% enemy,50,White Magic
Arc,Break of Valor,,Dia Cure,WHT,Single ally,Magical,4.00,Holy,1.65,"Restores HP (105), damages undeads, MND +30% for 25 seconds",Y,Lowest HP% ally,50,White Magic
Refia,Dance of Carnage,,Riddle of the Flame,PHY,Single enemy,Physical,1.96,"Fire, NE",1.65,"Four single ranged attacks (0.49 each), 50% additional critical damage",Y,Lowest HP% enemy,50,Monk
Refia,Dance of Carnage,,Fires of Carnage,PHY,All enemies,Physical,1.30,"Fire, NE",1.65,"Two group ranged attacks (0.65 each), grants Dark Bargain to the user for 20 seconds",Y,All enemies,50,Monk
Ingus,Oathsworn Espada,,Tour de Force,PHY,Single enemy,Physical,1.96,"Earth, NE",1.65,"Two single attacks (0.98 each), grants Sentinel to the user for 25 seconds",Y,Lowest HP% enemy,50,Knight
Ingus,Oathsworn Espada,,Secrets of Sasune,PHY,Single enemy,Physical,1.96,"Earth, NE",1.65,"Two single attacks (0.98 each), grants Retaliate to the user for 15 seconds",Y,Lowest HP% enemy,50,Knight
Ingus,Faith Escutcheon,,Titan Drive,PHY,Single enemy,Physical,1.95,"Earth, NE",1.65,"Three single attacks (0.65 each), grants Knight +15% Boost 3 to the user",Y,Lowest HP% enemy,50,Knight
Ingus,Faith Escutcheon,,Aegis Form,NAT,Self,,,,1.65,ATK and DEF +50% for 20 seconds,Y,Self,50,Knight
Desch,Ancient Lightning,,Heavenly Drum,BLK,Single enemy,Magical,8.00,"Lightning, NE",1.65,"Four single attacks (2.00 each), grants Magical Quick Cast 1 to the user",Y,Lowest HP% enemy,50,Black Magic
Desch,Ancient Lightning,,Become the Lightning,BLK,All enemies,Magical,6.18,"Lightning, NE",1.65,"Two group attacks (3.09 each), grants Magic Bargain to the user for 20 seconds",Y,All enemies,50,Black Magic
Onion Knight,Vessel of Fate,,Extra Slice,PHY,Single enemy,Physical,1.88,-,1.65,"Four single attacks (0.47 each), grants Physical Instant Cast 1 to the user",Y,Lowest HP% enemy,50,Celerity
Onion Knight,Vessel of Fate,,Swiftspell,BLK,Single enemy,Magical,9.00,-,1.65,"Four single attacks (2.25 each), grants Magical Instant Cast 1 to the user",Y,Lowest HP% enemy,50,Black Magic
Cloud of Darkness,Fusillade Particle Beam,,Aura Ball of Confounding,BLK,Single enemy,Magical,10.20,"Dark, Holy",1.65,"Four single attacks (2.55 each), causes Silence (7%) and Blind (7%)",Y,Lowest HP% enemy,50,Black Magic
Cloud of Darkness,Fusillade Particle Beam,,Aura Ball of Binding,BLK,Single enemy,Magical,10.20,"Dark, Holy",1.65,"Four single attacks (2.55 each), causes Paralyze (7%) and Stop (7%)",Y,Lowest HP% enemy,50,Black Magic
Cloud of Darkness,0-Form Particle Beam,,Exploding Aura Ball,BLK,Single enemy,Magical,8.16,"Dark, NE",1.65,"Three single attacks (2.72 each), grants Darkness +15% Boost 3 to the user",Y,Lowest HP% enemy,50,Black Magic
Cloud of Darkness,0-Form Particle Beam,,Empowered Aura Ball,BLK,Single enemy,Magical,6.30,"Dark, NE",1.65,"Two single attacks (3.15 each), grants Magic Bargain to the user for 20 seconds",Y,Lowest HP% enemy,50,Black Magic
Aria,Maiden of Water,,Clarion Prayer,WHT,Single ally,Magical,4.00,Holy,0.01,"Restores HP (80), damages undeads, grants High Regen",Y,Lowest HP% ally,50,White Magic
Aria,Maiden of Water,,Fleeting Wish,WHT,All allies,Magical,2.00,Holy,1.65,"Restores HP (25), damages undeads",Y,All allies,50,White Magic
Cecil (Dark Knight),Dark Flame,,Onyx Wave,PHY,Single enemy,Physical,2.16,"Dark, NE",1.65,"Four single attacks (0.54 each), ATK increases as HP decreases",Y,Lowest HP% enemy,50,Darkness
Cecil (Dark Knight),Dark Flame,,Nightfall,PHY,All enemies,Physical,2.00,"Dark, NE",1.65,"Two group attacks (1.00 each), damages the user for 12.5% max HP",Y,All enemies,50,Darkness
Cecil (Dark Knight),Abyss Gate,,Shadow Slice,PHY,Single enemy,Physical,2.16,"Dark, NE",1.65,Four single attacks (0.54 each),Y,Lowest HP% enemy,50,Darkness
Cecil (Dark Knight),Abyss Gate,,Evil Drive,PHY,Single enemy,Physical,1.68,"Dark, NE",1.65,"Three single attacks (0.56 each), grants Darkness +15% Boost 3 to the user",Y,Lowest HP% enemy,50,Darkness
Cecil (Paladin),Paladin Force,,Blessed Weapon,PHY,Single enemy,Physical,2.30,Holy,1.65,"One single attack (2.30), restores HP (60) to the user",Y,Lowest HP% enemy,50,Combat
Cecil (Paladin),Paladin Force,,Sacred Circle,PHY,All enemies,Physical,1.58,Holy,1.65,Two group attacks (0.79 each),Y,All enemies,50,Combat
Cecil (Paladin),Radiant Blast,,Paladin's Charge,PHY,Single enemy,Physical,2.90,"Holy, NE",1.65,3/4/5 single attacks (0.58 each) if the user has taken 3/7 attacks,Y,Lowest HP% enemy,50,Knight
Cecil (Paladin),Radiant Blast,,Light Slash,PHY,Single enemy,Physical,2.32,"Holy, NE",1.65,"Four single attacks (0.58 each), RES +100% to the user for 20 seconds",Y,Lowest HP% enemy,50,Knight
Kain,Dragoon's Pride,,Stormblood Dragon,PHY,Single enemy,Physical,2.06,Lightning,1.65,"Two single ranged attacks (1.03 each), grants No Air Time 2 to the user",Y,Lowest HP% enemy,50,Dragoon
Kain,Dragoon's Pride,,Triumphant Lancet,PHY,Single enemy,Physical,2.06,Lightning,1.65,"Two single ranged attacks (1.03 each), smart ether 1 to the user",Y,Lowest HP% enemy,50,Dragoon
Rydia,Mournful Cry,,Gaia's Strike,SUM,Single enemy,Magical,8.96,"Earth, NE",1.65,"Four single attacks (2.24 each), minimum damage 1100",N,Lowest HP% enemy,50,Summoning
Rydia,Mournful Cry,,Gaia's Fury,SUM,All enemies,Magical,6.28,"Earth, NE",1.65,"Two group attacks (3.14 each), minimum damage 1100",N,All enemies,50,Summoning
Rydia,Law of the Eidolons,,Gift of the Eidolon King,SUM,Single enemy,Magical,7.80,"Water, Holy",1.65,"Four single attacks (1.95 each), minimum damage 1100, grants Magical Quick Cast 2 to the user",N,Lowest HP% enemy,50,Summoning
Rydia,Law of the Eidolons,,Gift of the Eidolon Queen,SUM,Single enemy,Magical,8.56,"Water, Holy",1.65,"Two single attacks (4.28 each), minimum damage 1100, smart ether 1 to the user",N,Lowest HP% enemy,50,Summoning
Rosa,Holy Ray,,Wall of Light,WHT,Single ally,Magical,4.00,Holy,1.65,"Restores HP (105), grants Magical Blink 1, damages undeads",Y,Lowest HP% ally,50,White Magic
Rosa,Holy Ray,,Ripple of Life,WHT,All allies,Magical,2.00,Holy,1.65,"Restores HP (25), damages undeads",Y,All allies,50,White Magic
Edward,Whisperweed Ballad,,Soothing Lullaby,PHY,Single enemy,Physical,1.95,Holy,1.65,"One single ranged attack (1.95), ATK and MAG -20% for 15 seconds, causes Sap to the user",Y,Random enemy,50,Support
Edward,Whisperweed Ballad,,Baneful Nocturne,PHY,Single enemy,Physical,1.95,Holy,1.65,"One single ranged attack (1.95), DEF and RES -20% for 15 seconds, causes Sap to the user",Y,Random enemy,50,Support
Yang,Seven-Star Heavenly Fist,,Crushing-Rock Blow,PHY,Single enemy,Physical,1.88,"Earth, NE",1.65,"Four single attacks (0.47 each), five attacks if the user has Unbound Fury",Y,Lowest HP% enemy,50,Monk
Yang,Seven-Star Heavenly Fist,,Explosive Fists,PHY,Single enemy,Physical,2.04,"Earth, NE",1.65,"Four single attacks (0.51 each), grants Unbound Fury to the user for 25 seconds",Y,Lowest HP% enemy,50,Monk
Palom,Tri-Disaster,,Bomb Thunder,BLK,Single enemy,Magical,9.20,"Fire, Lightning",1.65,"Four single attacks (2.30 each), grants Magical Instant Cast 1 to the user if exploiting elemental weakness",Y,Lowest HP% enemy,50,Black Magic
Palom,Tri-Disaster,,Ice Thunder,BLK,Single enemy,Magical,9.20,"Ice, Lightning",1.65,"Four single attacks (2.30 each), grants Magical Instant Cast 1 to the user if exploiting elemental weakness",Y,Lowest HP% enemy,50,Black Magic
Porom,Healing Wind (IV),,Mysidia's Light,WHT,Single ally,Magical,3.00,Holy,1.65,"Restores HP (80), damages undeads, removes KO (20% HP)",N,Ally with KO or lowest HP% ally,50,White Magic
Porom,Healing Wind (IV),,Cure Wave,WHT,All allies,Magical,2.00,Holy,1.65,"Restores HP (25), damages undeads",N,All allies,50,White Magic
Tellah,Sage's Sagacity,,Sage's Secrets,BLK,Single enemy,Magical,12.00,"Earth, NE",1.65,Four single attacks (2.35/2.65/3.00 each) at 650/1200 MAG,Y,Lowest HP% enemy,50,Black Magic
Tellah,Sage's Sagacity,,Forbidden Recollection,BLK,All enemies,Magical,7.86,"Earth, NE",1.65,"Two group attacks (3.93 each), grants Magic Bargain to the user for 20 seconds",Y,All enemies,50,Black Magic
Edge,Seething Waters,,Water Barrage,PHY,Single enemy,Physical,1.88,"Water, NE",0.83,Four single attacks (0.47 each),Y,Lowest HP% enemy,50,Ninja
Edge,Seething Waters,,Raging Seas,PHY,All enemies,Physical,1.20,"Water, NE",0.83,Two group attacks (0.60 each),Y,All enemies,50,Ninja
Fusoya,Lunarian Prayer,,Moonlight's Blessing,BLK,Single enemy,Magical,4.40,"Holy, NE",1.65,Two single attacks (2.20 each),Y,Lowest HP% enemy,50,Black Magic
Fusoya,Lunarian Prayer,,Moonlight's Seal,BLK,Single enemy,Magical,6.90,"Holy, NE",1.65,3/4/5/6 single attacks (2.30/2.35/2.40/3.00 each) scaling with Moonlight's Blessing uses,Y,Lowest HP% enemy,50,Black Magic
Golbez,Twin Moon,,Shadow Dragon,SUM,Self,,,,1.65,Grants Summon Shadow Dragon and Stoneskin: 30%,N,Self,50,Summoning
Golbez,Twin Moon,,Shadow Dragon (S),SUM,All enemies,Magical,17.20,Dark,1.65,"Four group attacks (4.30 each), minimum damage 1100, removes Summon Shadow Dragon to the user",N,All enemies,50,Summoning
Golbez,Twin Moon,,Glare Hand,BLK,Single enemy,Magical,10.20,Dark,1.65,Four single attacks (2.55 each),Y,Lowest HP% enemy,50,Black Magic
Golbez,Twin Moon,,Glare Hand (S),BLK,Single enemy,Magical,10.20,Dark,1.65,"Four single attacks (2.55 each), heals the user for 20% of the damage dealt",Y,Lowest HP% enemy,50,Black Magic
Golbez,Abyssal Quasar,,Rising Wave,BLK,Single enemy,Magical,10.48,"Dark, NE",1.65,Four single attacks (2.62 each),Y,Lowest HP% enemy,50,Black Magic
Golbez,Abyssal Quasar,,Attack System,BLK,Single enemy,Magical,7.95,"Dark, NE",1.65,"Three single attacks (2.65 each), grants Quick Cast 2 to the user",Y,Lowest HP% enemy,50,Black Magic
Cid (IV),Falcon Drill,,Lightning Hammer,PHY,Single enemy,Physical,2.20,"Lightning, NE",1.65,"Two single attacks (1.10 each), MAG -50% for 15 seconds",Y,Random enemy without status,50,Machinist
Cid (IV),Falcon Drill,,Thunderbolt Wrench,PHY,Single enemy,Physical,2.20,"Lightning, NE",1.65,"Two single attacks (1.10 each), DEF -40% for 15 seconds",Y,Random enemy without status,50,Machinist
Ceodore,Holy Cross,,Curing Cut,PHY,Single enemy,Physical,2.20,"Holy, NE",1.65,"Four single attacks (0.55 each), restores HP to the lowest HP% ally for 25% of their maximum HP",Y,Lowest HP% enemy,50,Knight
Ceodore,Holy Cross,,Esuna Blade,PHY,All enemies,Physical,1.58,"Holy, NE",1.65,"Two group attacks (0.79 each), removes negative effects to a random ally with negative effects",Y,All enemies,50,Knight
Rubicante,Trueflame Inferno,,Avatar of Flame,BLK,Self,,,,1.65,Grants Fire Cloak and Magical Blink 1,Y,Self,50,Black Magic
Rubicante,Trueflame Inferno,,Avatar of Flame (S),BLK,Single enemy,Magical,8.84,"Fire, NE",1.65,"Four single attacks (2.21 each), removes Fire Cloak to the user",Y,Lowest HP% enemy,50,Black Magic
Rubicante,Trueflame Inferno,,Rain of Fire,BLK,All enemies,Magical,5.90,"Fire, NE",1.65,Two group attacks (2.95 each),Y,All enemies,50,Black Magic
Rubicante,Trueflame Inferno,,Rain of Fire (S),BLK,All enemies,Magical,8.85,"Fire, NE",1.65,Three group attacks (2.95 each),Y,All enemies,50,Black Magic
Ursula,Five Star Crimson Palm,,Boulder Buster,PHY,Single enemy,Physical,1.88,"Earth, Fire",0.83,Four single attacks (0.47 each),Y,Lowest HP% enemy,50,Monk
Ursula,Five Star Crimson Palm,,Explosive Barrage,PHY,Single enemy,Physical,1.08,"Earth, Fire",1.65,"Two single attacks (0.54 each), grants 50% Critical to the user for 15 seconds",Y,Lowest HP% enemy,50,Monk
Barbariccia,Maelstrom (IV),,Fast Winds,BLK,Single enemy,Magical,7.72,"Wind, NE",1.65,"Four single attacks (1.93 each), grants Quick Cast 2 to the user",Y,Lowest HP% enemy,50,Black Magic
Barbariccia,Maelstrom (IV),,Aero Drive,BLK,All enemies,Magical,6.18,"Wind, NE",1.65,"Two group attacks (3.09 each), grants Magic Bargain to the user for 20 seconds",Y,All enemies,50,Black Magic
Lenna,Phoenix of Tycoon,,Royal Judgment,WHT,Single enemy,Magical,10.52,Holy,1.65,"Four single attacks (2.63 each), MND +15% to the user for 25 seconds",Y,Lowest HP% enemy,50,White Magic
Lenna,Phoenix of Tycoon,,Tycoon's Gift,WHT,All allies,Magical,2.00,Holy,1.65,"Restores HP (25), damages undeads",Y,All allies,50,White Magic
Lenna,Tender Mercy,,Tycoon's Mark,WHT,Single ally,Magical,3.00,Holy,0.01,"Restores HP (80), MND +30% for 25 seconds, damages undeads",Y,Lowest HP% ally,50,White Magic
Lenna,Tender Mercy,,Care for Life,WHT,All allies,Magical,2.00,Holy,1.65,"Restores HP (25), damages undeads",Y,All allies,50,White Magic
