"Realm","Character","Img","Name","Tier","Effect","Master","Relic","Name (JP)","ID","Anima"
"Core","Tyro","","Spellgird","-","Reduces damage taken by BLK attacks by 10%","","-","魔攻への備え","201000200",""
"Core","Tyro","","Secret of the Archives","-","Increases the duration of stat buffs by 40%","","-","歴史省の秘伝","201000201",""
"Core","Tyro","","Archival Secrets","LMR","Grants [Instant Cast 2] at the beginning of the battle","ATK +10","Keeper's Cap (Core)","歴史省の奥伝","201000202","1"
"Core","Tyro","","Phoenix Protector","LMR","PHY attacks deal 25% more damage when equipping a shield","ATK +10","Erdrick's Shield (Core)","不死鳥の守護","201000203",""
"Core","Tyro","","Heroic Aspiration","LMR","ATK, DEF, MAG, RES and MND +30% when equipping a book","ATK +10","Book of Light (Core)","英雄への憧れ","201000204","4"
"Core","Tyro","","Wisdom's Pupil","LMR","Increases damage dealt by 20% when exploiting elemental weakness","ATK +5, MAG +5","Magic Armlet (Core)","英知学びし少年","201000205",""
"Core","Elarra","","To Be Human","-","WHT abilities restore 15% more HP","","-","心を学ぶ少女","201000501",""
"Core","Elarra","","Historic Brilliance","-","35% chance to dualcast White Magic abilities","","-","歴史に育まれる才華","201000502",""
"Core","Elarra","","Aspiring Artisan","LMR","25% chance to cast an ability (WHT: group, restores HP (25)) after using a Bard ability","MND +10","Elarra's Hat (Core)","芸術への興味","201000503","1"
"Core","Elarra","","Heavenly Miracle","LMR","Restores HP for 100% of the user's maximum HP and grants [Last Stand] when HP fall below 20%","MND +10","Priestess Apron (Core)","星を救う奇跡","201000504",""
"Core","Biggs","","Reckless Zeal","-","PHY attacks deal 10% more damage","","-","ガムシャラな情熱","201004300",""
"Core","Biggs","","Defiant Cry","-","Grants [Last Stand] and [Biggs Trance] when HP fall below 20%","","-","土壇場の気合","201004301",""
"Core","Biggs","","Hidden Valor","LMR","Grants [Attach Earth] at the beginning of the battle","ATK +10","Biggs's Guise (Core)","隠された戦士の誇り","201004302","1"
"Core","Biggs","","Fearsome Demon","LMR","PHY attacks deal 25% more damage when equipping heavy armor","ATK +10","Demon Armor (Core)","鬼神貫徹","201004303",""
"Core","Wedge","","Animal Ally","-","Increases Wind damage dealt by 10%","","-","動物への愛情","201004400",""
"Core","Wedge","","Quick Study","-","35% chance to dualcast abilities that deal Wind damage","","-","すばしっこい芸達者","201004401",""
"Core","Wedge","","Hidden Kindness","LMR","Grants [Attach Wind] at the beginning of the battle","ATK +5, MAG +5","Wedge's Hat (Core)","秘めた愛らしさ","201004402","1"
"Core","Wedge","","Divine Squad","LMR","100% chance to remove Silence and Blind to the user after being afflicted with Silence or Blind","ATK +5, MAG +5","Divine Robe (Core)","破呪の方陣","201004403",""
"Core","Wedge","","Onslaught (Wedge)","LMR+","35% chance to cast an ability (NAT: single hybrid, 4x 0.51 or 2.04 Wind/NE) after dealing damage with a Wind attack","ATK +5, MAG +5","Silk Shirt (Core)","遊撃【ウェッジ】","201004404",""
"Core","Dr. Mog","","Hardened Resistance","-","Reduces damage taken by BLK attacks by 10%","","-","元祖魔攻への備え","201004500",""
"Core","Dr. Mog","","Master of Destruction","-","35% chance to dualcast Black Magic or Summoning abilities","","-","黒魔法の権威","201004501",""
"Core","Dr. Mog","","Master of Renewal","LMR","25% chance to dualcast White Magic abilities","MAG +5, MND +5","Healing Staff (Core)","白魔法の熟達者","201004502","1"
"Core","Dr. Mog","","Overflowing Magic","LMR","35% chance to grant [Quick Cast 1] to the user after using a Black Magic or Summoning ability","MAG +10","Metal Slime Hat (Core)","あふれる魔力","201004503",""
"Core","Dr. Mog","","Archives' Promise","LMR","Grants [Dr. Mog Trance] when HP fall below 20%","MAG +10","Staff of Light (Core)","歴史省トップの底力","201004504",""
"I","Warrior of Light","","Chosen of the Light","-","Reduces damage taken by Holy attacks by 10%","","-","光に選ばれし者","201010100",""
"I","Warrior of Light","","Unfaltering Light","-","Grants [Last Stand] and [Sentinel] at the beginning of the battle","","-","揺らぐことなき光","201010101",""
