"ID","Realm","Rarity","BaseRarity","Type","Category","Level","Atk","Def","Mag","Res","Mnd","Acc","Eva","Effect","Character","SoulBreak","LegendMateria","Synergy","CorrectedType","CorrectedCategory","CorrectedRealm","ID","Realm","Rarity","BaseRarity","Type","Category","Level","Atk","Def","Mag","Res","Mnd","Acc","Eva","Effect","Character","SoulBreak","LegendMateria","Synergy","CorrectedType","CorrectedCategory","CorrectedRealm"
"210010000","X","5","5","Weapon ","Dagger","20","104.0","0.0","0.0","0.0","0.0","95.0","0.0","","-","Slow Buster","","No","1 ","1 ","10","210010000","X","5","5","Weapon ","Dagger","70","180.0","0.0","0.0","0.0","0.0","95.0","0.0","","-","Slow Buster","","Yes","1 ","1 ","10"
"210010001","X","6","5","Weapon ","Dagger","25","112.0","0.0","0.0","0.0","0.0","95.0","0.0","","-","Slow Buster","","No","1 ","1 ","10","210010001","X","6","5","Weapon ","Dagger","85","203.0","0.0","0.0","0.0","0.0","95.0","0.0","","-","Slow Buster","","Yes","1 ","1 ","10"
"210010002","X","7","5","Weapon ","Dagger","30","119.0","0.0","0.0","0.0","0.0","95.0","0.0","","-","Slow Buster","","No","1 ","1 ","10","210010002","X","7","5","Weapon ","Dagger","100","226.0","0.0","0.0","0.0","0.0","95.0","0.0","","-","Slow Buster","","Yes","1 ","1 ","10"
"210010003","X","8","5","Weapon ","Dagger","35","127.0","0.0","0.0","0.0","0.0","95.0","0.0","","-","Slow Buster","","No","1 ","1 ","10","210010003","X","8","5","Weapon ","Dagger","115","248.0","0.0","0.0","0.0","0.0","95.0","0.0","","-","Slow Buster","","Yes","1 ","1 ","10"
"210010010","II","1","1","Weapon ","Dagger","3","4","0","0","0","0","83","0","","","","","No","1 ","1 ","2","210010010","II","1","1","Weapon ","Dagger","18","4","0","0","0","0","83","0","","","","","Yes","1 ","1 ","2"
"210010011","II","2","1","Weapon ","Dagger","5","11.0","0.0","0.0","0.0","0.0","83.0","0.0","","","","","No","1 ","1 ","2","210010011","II","2","1","Weapon ","Dagger","25","44.0","0.0","0.0","0.0","0.0","83.0","0.0","","","","","Yes","1 ","1 ","2"
"210010012","II","3","1","Weapon ","Dagger","10","19.0","0.0","0.0","0.0","0.0","83.0","0.0","","","","","No","1 ","1 ","2","210010012","II","3","1","Weapon ","Dagger","40","69.0","0.0","0.0","0.0","0.0","83.0","0.0","","","","","Yes","1 ","1 ","2"
"210010013","II","4","1","Weapon ","Dagger","15","28.0","0.0","0.0","0.0","0.0","83.0","0.0","","","","","No","1 ","1 ","2","210010013","II","4","1","Weapon ","Dagger","55","94.0","0.0","0.0","0.0","0.0","83.0","0.0","","","","","Yes","1 ","1 ","2"
"210010020","II","2","2","Weapon ","Dagger","5","18.0","0.0","0.0","0.0","0.0","86.0","0.0","","","","","No","1 ","1 ","2","210010020","II","2","2","Weapon ","Dagger","25","49.0","0.0","0.0","0.0","0.0","86.0","0.0","","","","","Yes","1 ","1 ","2"
"210010021","II","3","2","Weapon ","Dagger","10","26.0","0.0","0.0","0.0","0.0","86.0","0.0","","","","","No","1 ","1 ","2","210010021","II","3","2","Weapon ","Dagger","40","73.0","0.0","0.0","0.0","0.0","86.0","0.0","","","","","Yes","1 ","1 ","2"
"210010022","II","4","2","Weapon ","Dagger","15","33.0","0.0","0.0","0.0","0.0","86.0","0.0","","","","","No","1 ","1 ","2","210010022","II","4","2","Weapon ","Dagger","55","96.0","0.0","0.0","0.0","0.0","86.0","0.0","","","","","Yes","1 ","1 ","2"
"210010023","II","5","2","Weapon ","Dagger","20","41.0","0.0","0.0","0.0","0.0","86.0","0.0","","","","","No","1 ","1 ","2","210010023","II","5","2","Weapon ","Dagger","70","120.0","0.0","0.0","0.0","0.0","86.0","0.0","","","","","Yes","1 ","1 ","2"
"210010030","IX","1","1","Weapon ","Dagger","3","4","0","0","0","0","83","0","","","","","No","1 ","1 ","9","210010030","IX","1","1","Weapon ","Dagger","18","4","0","0","0","0","83","0","","","","","Yes","1 ","1 ","9"
"210010031","IX","2","1","Weapon ","Dagger","5","12.0","0.0","0.0","0.0","0.0","83.0","0.0","","","","","No","1 ","1 ","9","210010031","IX","2","1","Weapon ","Dagger","25","47.0","0.0","0.0","0.0","0.0","83.0","0.0","","","","","Yes","1 ","1 ","9"
"210010032","IX","3","1","Weapon ","Dagger","10","20.0","0.0","0.0","0.0","0.0","83.0","0.0","","","","","No","1 ","1 ","9","210010032","IX","3","1","Weapon ","Dagger","40","74.0","0.0","0.0","0.0","0.0","83.0","0.0","","","","","Yes","1 ","1 ","9"
"210010033","IX","4","1","Weapon ","Dagger","15","29.0","0.0","0.0","0.0","0.0","83.0","0.0","","","","","No","1 ","1 ","9","210010033","IX","4","1","Weapon ","Dagger","55","100.0","0.0","0.0","0.0","0.0","83.0","0.0","","","","","Yes","1 ","1 ","9"
