Realm,Character,Img,Name,Tier,Type,Target,Formula,Multiplier,Element,Time,Effects,Counter,Auto Target,Points,Soulbreak Bonus,Relic,Name (JP),ID
Core,Tyro,,Judgment Grimoire,Default,PHY,All enemies,Physical,1.05,-,2.75,One group ranged attack (1.05),Y,All enemies,500,,-,断撃のグリモア,20140001.0
Core,Tyro,,Healing Grimoire,SB,WHT,All allies,,,,2.5,Restores HP (104),N,All allies,500,,Healing Grimoire (Core),治癒のグリモア,20140002.0
Core,Tyro,,Sentinel's Grimoire,SB,NAT,All allies,,,,3.0,DEF and RES +200% for 25 seconds,N,All allies,500,,Sentinel's Grimoire (Core),鉄壁のグリモア,20140004.0
Core,Tyro,,Cyclone Grimoire,SB,BLK,All enemies,Magical,7.25,-,3.0,"One group attack (7.25), RES -50% for 25 seconds",N,All enemies,500,,Cyclone Grimoire (Core),竜巻のグリモア,20140003.0
Core,Tyro,,Last Judgment Grimoire,SSB,PHY,All enemies,Physical,6.00,Earth,2.75,Three group ranged attacks (2.00 each),N,All enemies,500,ATK +10,Last Judgment Grimoire (Core),真・断撃のグリモア,20140005.0
Core,Tyro,,Stormlance Grimoire,SB,PHY,Single enemy,Physical,8.00,Lightning,3.0,Four single ranged attacks (2.00 each),N,Lowest HP% enemy,500,,Stormlance Grimoire (Core),-,20140000.0
Core,Tyro,,Keeper's Tome,BSB,NAT,All allies,,,,2.75,"Grants Protect, Shell and Magical Blink 1, grants Haste and Burst Mode to the user",N,All allies,500,ATK +10,Keeper's Tome (Core),伝記・天衣無縫,20140006.0
Core,Tyro,,Celebration Grimoire,SB,PHY,All enemies,Physical,2.00,-,2.5,"One group ranged attack (2.00), restores HP (35) to all allies",N,All allies,500,,Celebration Grimoire (Core),千万世界のグリモア,20140007.0
Core,Tyro,,Arbiter's Apocrypha,OSB,PHY,Single enemy,Physical,9.00,-,2.5,"One single attack (9.00) capped at 99999, ATK, DEF, MAG and RES +15% to all allies for 25 seconds",N,Lowest HP% enemy,500,ATK +10,Arbiter's Apocrypha (Core),禁書「調停者」,20140008.0
Core,Tyro,,Warder's Apocrypha,USB,NAT,All allies,,,,2.5,"Grants Haste, Astra and HP Stock (2000), grants Instant Cast 2 to the user",N,All allies,500,ATK +10,Keeper's Frock Coat (Core),禁書「守護者」,20140009.0
Core,Tyro,,Fantasy Unbound,USB,PHY,Single enemy,Physical,6.29,-,2.5,"Seventeen single attacks (0.37 each), grants Haste to all allies, ATK, DEF, MAG, RES and MND +15% to all allies for 25 seconds",N,Lowest HP% enemy,500,ATK +10,Tome of Fantasy (Core),秘録「最終幻想」,20140010.0
Core,Tyro,,Divine Veil Grimoire,USB,NAT,All allies,,,,2.5,"Grants Protect, Shell and Haste, DEF and RES +200% for 25 seconds",N,All allies,500,ATK +10,Divine Veil Grimoire (Core),神壁のグリモア,20140011.0
Core,Tyro,,Arbiter's Tome,USB,NAT,All allies,,,,0.01,"Grants Haste and 50% Critical, grants High Quick Cast and Judge's Apocrypha to the user",N,All allies,500,ATK +10,Arbiter's Tome (Core),禁書「裁定者」,20140014.0
Core,Tyro,,Purifying Grimoire,Glint,NAT,All allies,,,,0.01,"Restores 2000 HP, removes negative effects",N,All allies,250,ATK +10,Purifying Grimoire (Core),浄化のグリモア,20140015.0
Core,Tyro,,Link of Light,AOSB,PHY,Single enemy,Physical,15.60,"Holy, NE",2.5,Three single ranged attacks (5.20 each) capped at 99999,N,Lowest HP% enemy,750,ATK +10,Lustrous Shield (Core),リンク・オブ・ライト,20140016.0
Core,Tyro,,Gigaslash,AOSB,PHY,All enemies,Physical,20.16,Lightning,2.5,Three group ranged attacks (6.72 each) capped at 99999,N,All enemeies,750,ATK +10,Erdrick's Sword (Core),ギガスラッシュ,20140017.0
Core,Tyro,,Fantasy Grimoire Vol. 1,AASB,NAT,All allies,,,,0.01,"Grants 50% Critical and Haste, ATK and DEF +30% for 25 seconds, grants Awoken Scholar and Unraveled History Follow-Up to the user",N,All allies,500,ATK +10,First Fantasy Grimoire (Core),幻想のグリモア 巻ノ壱,20140018.0
Core,Warrior,,Double Attack I,Default,PHY,Single enemy,Physical,1.40,-,2.75,Two random attacks (0.70 each),Y,Random enemies,500,,-,ダブルアタックⅠ,20000001.0
Core,Warrior,,Double Attack II,SB,PHY,Single enemy,Physical,1.80,-,2.75,Two random attacks (0.90 each),Y,Random enemies,500,,Dual Tomahawk (III),ダブルアタックⅡ,20000002.0
Core,Knight,,Knight's Shield I,Default,NAT,Self,,,,2.5,DEF +50% for 25 seconds,N,Self,500,,-,ナイトの盾Ⅰ,20160001.0
Core,Knight,,Knight's Shield II,SB,NAT,Self,,,,2.5,DEF +100% for 25 seconds,N,Self,500,,Diamond Helm (III),ナイトの盾Ⅱ,20160002.0
Core,Monk,,Roundhouse,Default,PHY,All enemies,Physical,1.05,-,1.65,One group attack (1.05),Y,All enemies,500,,-,裏回し拳,20010003.0
Core,Red Mage,,Doublecast Fire,Default,BLK,Single enemy,Magical,2.00,Fire,2.5,Two random attacks (1.00 each),Y,Random enemies,500,,-,連続魔・ファイア,20170001.0
Core,Red Mage,,Doublecast Thunder,SB,BLK,Single enemy,Magical,2.00,Lightning,2.5,Two random attacks (1.00 each),Y,Random enemies,500,,Feathered Hat (III),連続魔・サンダー,20170002.0
Core,Black Mage,,Darkbolt,Default,BLK,Single enemy,Magical,1.60,Dark,2.5,One single attack (1.60),Y,Lowest HP% enemy,500,,-,まどう,20020001.0
Core,Black Mage,,Magic Signet,SB,NAT,Self,,,,2.5,MAG +50% for 30 seconds,N,Self,500,,Light Rod (III),精霊の印,20020002.0
Core,Black Mage,,Mass Firaga,SB,BLK,All enemies,Magical,7.25,Fire,2.75,One group attack (7.25),N,All enemies,500,,Fire Rod (Core),全体ファイガ,20020003.0
Core,Magus,,Black Magic Chant,Default,NAT,Self,,,,2.75,Grants Black Magic Quick Cast 3,Y,Self,500,,-,黒魔法詠唱圧縮,22020001.0
Core,White Mage,,Prayer,Default,WHT,All allies,,,,2.5,Restores HP (27),N,All allies,500,,-,いのり,20030001.0
Core,White Mage,,Divine Signet,SB,NAT,Self,,,,2.5,MND +50% for 30 seconds,N,Self,500,,Light Staff (III),女神の印,20030002.0
Core,White Mage,,Light Divine,SB,WHT,All allies,,,,3.0,Restores HP (50),N,All allies,500,,Rune Staff (Core),祈りの光,20910001.0
Core,Devout,,Panacea,Default,WHT,Single ally,,,,2.75,Removes negative effects,N,Random ally with status,500,,-,ちりょう,20790001.0
Core,Summoner,,Call I,Default,NAT,-,,,,2.5,"Randomly casts Goblin (25%), Bomb (50%) or Chocobo (25%)",Y,-,500,,-,よびだすⅠ,20180001.0
Core,Summoner,,Call II,SB,NAT,-,,,,2.5,"Randomly casts Goblin, Chocobo, Ifrit, Shiva or Ramuh",Y,-,500,,Gaia Vest (III),よびだすⅡ,20180002.0
Core,Samurai,,Inner Focus I,Default,NAT,Self,Magical,1.50,-,2.75,"Restores HP (45), damages undeads, ATK +15% for 25 seconds",N,Self,500,,-,黙想Ⅰ,20740001.0
Core,Dragoon,,High Jump,Default,PHY,Single enemy,Physical,2.10,-,3.0,One single ranged jump attack (2.10),Y,Lowest HP% enemy,500,,-,ハイジャンプ,20590001.0
Core,Dark Knight,,Dark Blade I,Default,PHY,Single enemy,Physical,1.70,Dark,2.5,"One single ranged attack (1.70), damages the user for 12.5% max HP",Y,Lowest HP% enemy,500,,-,暗黒剣Ⅰ,20340001.0
Core,Spellblade,,Magic Shell,Default,NAT,All allies,,,,2.5,RES +30% for 25 seconds,N,All allies,500,,-,まほうバリア,20680001.0
Core,Viking,,Crushing Strike I,Default,PHY,Single enemy,Physical,1.70,-,3.2,One single attack (1.70),Y,Lowest HP% enemy,500,,-,重撃Ⅰ,20750001.0
Core,Berserker,,Berserker's Rage,Default,NAT,Single enemy,Physical,1.50,-,2.75,"One single attack (1.50), grants Rage to the user for 2 turns",N,Lowest HP% enemy,500,,-,狂戦士,22010001.0
Core,Ranger,,Steady Shot I,Default,PHY,Single enemy,Physical,1.40,-,2.75,"One single ranged attack (1.40), 100% hit rate",Y,Lowest HP% enemy,500,,-,狙い撃ちⅠ,20040001.0
Core,Ranger,,Steady Shot II,SB,PHY,Single enemy,Physical,2.00,-,2.75,"One single ranged attack (2.00), 100% hit rate",Y,Lowest HP% enemy,500,,Killer Bow (V),狙い撃ちⅡ,20040002.0
Core,Ranger,,Sidewinder,SB,PHY,Single enemy,Physical,3.60,-,3.0,"One single ranged attack (3.60), ATK and MAG -40% for 25 seconds",N,Lowest HP% enemy,500,,Great Bow (Core),サイドワインダー,20040003.0
Core,Thief (Core),,Nekodamashi,Default,PHY,Single enemy,Physical,1.30,-,2.75,"One single attack (1.30), causes Stun (20%)",N,Lowest HP% enemy,500,,-,ねこだまし,20260003.0
Core,Bard,,Valor Minuet I,Default,NAT,All allies,,,,2.5,ATK +20% for 20 seconds,N,All allies,500,,-,猛者のメヌエットⅠ,20050001.0
Core,Bard,,Valor Minuet II,SB,NAT,All allies,,,,2.5,ATK +40% for 20 seconds,N,All allies,500,,Madhura Harp (III),猛者のメヌエットⅡ,20050002.0
Core,Bard,,Advancing March,SB,NAT,All allies,,,,3.0,Grants Haste,N,All allies,500,,Dream Harp (Core),進撃マーチ,20050003.0
Core,Ninja,,Copy Image I,Default,NAT,Self,,,,3.0,Grants Physical Blink 1 for 30 seconds,N,Self,500,,-,分身Ⅰ,20480001.0
Core,Gladiator,,Critical I,Default,PHY,Single,Physical,2.50,-,2.5,"One single attack (2.50), always deals a critical hit, 50% hit rate",Y,Highest HP% enemy,500,,-,クリティカルⅠ,20450001.0
Core,Elarra,,Fabula Heal,Default,WHT,All allies,,,,2.5,Restores HP (37),N,All allies,500,,-,ファブラ・ヒール,22860003.0
Core,Elarra,,Magika Album,USB,WHT,All allies,,,,0.01,"Restores HP (85), grants Regenga and High Quick Cast 2",N,All allies,500,MND +10,Magika Album (Core),マギカ・アルブム,23210001.0
Core,Elarra,,Magika Coat,BSB,WHT,All allies,Magical,2.00,Holy,2.5,"Restores HP (85), damages undeads, grants Last Stand, grants Haste and Burst Mode to the user",N,All allies,500,MND +10,Elarra's Guise (Core),マギカ・フロース,23210002.0
Core,Elarra,,Magika Orare,USB,WHT,All allies,,,,0.01,"Restores HP (85), grants Critical Damage +50%, grants Quick Cast to the user",N,All allies,500,MND +10,Magika Orare (Core),マギカ・オーラーレ,23210003.0
Core,Elarra,,Magika Pius,Glint,WHT,All allies,,,,0.01,Restores HP (55),N,All allies,250,MND +10,Magika Pius (Core),マギカ・ピウス,23210004.0
Core,Elarra,,Fluffy Dance,USB,NAT,All allies,,,,0.01,"Restores HP (85), ATK, DEF, MAG and RES -40% for 25 seconds to all enemies, grants High Quick Cast 2 and Fluffy Dance to the user",N,All allies,500,MND +10,Lunar Fan (Core),ハッスルダンス,23210005.0
Core,Elarra,,Magika Phoenix,AASB,WHT,All allies,,,,0.01,"Restores HP (105), removes KO (100% HP), grants Last Stand and Haste, grants Awoken Magika to the user",N,All allies,500,MND +10,Magika Poenics (Core),マギカ・ポエニクス,23210006.0
Core,Elarra,,Magika Amuletum,Glint+,NAT,All allies,,,,0.01,"Grants Protect, Shell and Haste to all allies",N,All allies,0,MND +10,Feathered Cap (Core),マギカ・アムレートゥム,23210007.0
Core,Biggs,,Dispel Slash,Default,PHY,Single enemy,Physical,2.00,-,2.5,"One single attack (2.00), removes positive effects",N,Lowest HP% enemy,500,,-,オレ様流・デスペル斬,23310001.0
