"ID","Common Name","Effects","Default Duration","MND Modifier","Exclusive Status"
"200","Poison","Damages for 1/64 max HP every 5.00 seconds, persists after battle","-","-","Low Regen, Medium Regen, High Regen, Sap, Phantom Regen, Regenga"
"2001","Magical Quick Cast 3","Cast speed x2.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 3 turns","-","-","-"
"2002","Magical Quick Cast 5","Cast speed x2.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 5 turns","-","-","-"
"2003","Instant Cast 2","Cast speed x9999999, lasts for 2 turns","-","-","-"
"2004","Magical Quick Cast 4","Cast speed x2.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 4 turns","-","-","-"
"2005","Physical Instant Cast 1","Cast speed x9999999 for PHY attacks, lasts for 1 turn","-","-","-"
"2006","Magical Instant Cast 1","Cast speed x9999999 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 1 turn","-","-","-"
"2007","Instant Cast 1","Cast speed x9999999, lasts for 1 turn","-","-","-"
"2008","Quick Cast 4","Cast speed x2.00, lasts for 4 turns","-","-","-"
"2009","Magical Quick Cast 1","Cast speed x2.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 1 turns","-","-","-"
"201","Silence","Disables BLK, WHT, BLU and SUM attacks, persists after battle","20","± 2,50%","-"
"2010","Monk Quick Cast 5","Cast speed x2.00 for Monk abilities, lasts for 5 turns","-","-","-"
"2011","Machinist Instant Cast 2","Cast speed x9999999 for Machinist abilities, lasts for 2 turns","-","-","-"
"2012","Magical Quick Cast 2","Cast speed x2.00 for BLK, WHT, BLU, SUM or NAT attacks that deal magical damage, lasts for 2 turns","-","-","-"
"2014","Instant Cast 3","Cast speed x9999999, lasts for 3 turn","-","-","-"
"2015","Quick Cast 3","Cast speed x2.00, lasts for 3 turns","-","-","-"
"2016","Quick Cast 2","Cast speed x2.00, lasts for 2 turns","-","-","-"
"2017","Knight Quick Cast 2","Cast speed x2.00 for Knight abilities, lasts for 2 turns","-","-","-"
"2018","Monk Instant Cast 3","Cast speed x9999999 for Monk abilities, lasts for 3 turns","-","-","-"
"2019","Quick Cast 1","Cast speed x2.00, lasts for 1 turn","-","-","-"
"202","Paralyze","Can't act","15","± 2,00%","All ""Retaliate"" status"
"2020","High Quick Cast 1","Cast speed x3.00, lasts for 1 turn","-","-","-"
"2021","High Quick Cast 2","Cast speed x3.00, lasts for 2 turn","-","-","-"
"2022","Machinist Quick Cast 2","Cast speed x2.00 for Machinist abilities, lasts for 2 turns","-","-","-"
