"Character","Source","Name","Synchro Ability Slot","Synchro Condition","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID","Synchro Condition ID"
"Tyro","Fantasy Grimoire Vol. II","Almighty Chapter","1","Any","NAT","Single enemy","Hybrid","-","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","1.65","Four single ranged hybrid attacks (0.81 or 2.75 each), grants [High Quick Cast 1] to the user","Y","Lowest HP% enemy","90","Support","善知善能の章","30545100","1099"
"Tyro","Fantasy Grimoire Vol. II","Divine Chapter","2","Any","NAT","Self","","","","1.65","Grants [Conditional Attach Element From Party] and [High Quick Cast 1]","N","Self","180","Support","天知真命の章","30545101","1099"
"Elarra","Magika Animus","Magika Cure","1","White Magic","WHT","Single ally","","","","0.01","Restores HP (105), grants [White Magic Heals +30% Boost 1]","N","Lowest HP% ally","70","White Magic","マギカ・ケアル","30542363","2"
"Elarra","Magika Animus","Magika Somnium","2","Bard, Dancer","WHT","All allies","","","","1.65","Restores HP (25)","N","All allies","100","White Magic","マギカ・ソムニウム","30542364","1001"
"Elarra","Magika Stella","Magika Clarus","1","Bard, Dancer","WHT","Single ally","","","","0.01","Restores HP (85), grants [HP Stock (2000)]","N","Lowest HP% ally","70","White Magic","マギカ・クラルス","31540968","1001"
"Elarra","Magika Stella","Magika Lux","2","White Magic","NAT","All allies","","","","1.65","Grants [High Quick Cast 1]","N","All allies","100","Bard","マギカ・ルクス","31540969","2"
"Dr. Mog","Rainbow Magic","Sage Counsel","1","Any","BLK","Single enemy","Magical","16.40","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","1.65","One single attack (16.40) capped at 99999","Y","Lowest HP% enemy","90","Black Magic","賢知なる教え","31540350","1099"
"Dr. Mog","Rainbow Magic","Tome of Knowledge","2","Any","NAT","Self","","","","0.01","Grants [Prismatic +50% Boost 1] and [High Quick Cast 1]","N","Self","70","Black Magic","全知の秘録","31540351","1099"
"Biggs","Gung-Ho Agent","Passionate Charge","1","Earth, Holy","PHY","Single enemy","Physical","6.00","Earth, Holy","1.65","One single attack (6.00) capped at 99999","Y","Lowest HP% enemy","90","Knight","気合の剣撃","31540619","2013"
"Biggs","Gung-Ho Agent","Rough and Tough Stance","2","Earth, Holy","NAT","Self","","","","0.01","Grants [100% Critical 1] and Fiery Agent +1","N","Self","70","Knight","強堅なる構え","31540620","2013"
"Wedge","High-Flying Star","Vacuum Cutter","1","Wind","NAT","Single enemy","Hybrid","-","Wind, NE","1.65","Six single ranged hybrid attacks (0.90 or 3.05 each)","Y","Lowest HP% enemy","90","Black Magic","バキュームカッター","31540615","104"
"Wedge","High-Flying Star","Wind Booster","2","Wind","NAT","Single enemy","Hybrid","-","Wind, NE","0.83","Three single ranged hybrid attacks (0.80 or 2.70 each), causes [Imperil Wind 10% (15s)] every two uses, grants [Buff Wind 10% (15s)] to the user every two uses","Y","Lowest HP% enemy","70","Thief","ウィンドブースター","31540616","104"
"Warrior of Light","Photon Wave","Photon Strike","1","Holy","PHY","Single enemy","Physical","5.40","Holy, NE","1.65","Six single attacks (0.90 each), 100% additional critical chance if user has [Dual Blink 1] or [Dual Blink 2]","Y","Lowest HP% enemy","90","Knight","フォトンストライク","30548648","106"
"Warrior of Light","Photon Wave","Crystal Boost","2","Holy","PHY","Single enemy","Physical","2.70","Holy, NE","1.65","Three single attacks (0.90 each), 100% additional critical chance if user has [Dual Blink 1] or [Dual Blink 2], grants [Quick Cast 3] to the user","Y","Lowest HP% enemy","90","Knight","クリスタルブースト","30548649","106"
"Warrior of Light","True Shining Saber","Shining Swordthrust","1","Holy","PHY","Single enemy","Physical","5.40","Holy, NE","1.65","Six single attacks (0.90 each) with 20% additional critical damage","Y","Lowest HP% enemy","90","Knight","シャイニングスラスト","31540978","106"
"Warrior of Light","True Shining Saber","Lucent Boost","2","Holy","NAT","Self","","","","0.01","Grants [Quick Cast 3]","N","Self","70","Knight","","31540979","106"
"Meia","Primal Undine","Water Surface","1","Water","BLK","Single enemy","Magical","18.30","Water, NE","1.65","Six single attacks (3.05 each), grants [Water Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Black Magic","ウォータサーフェス","31540112","105"
"Meia","Primal Undine","Aberrant Witch","2","Water","BLK","Single enemy","Magical","9.15","Water, NE","1.65","Three single attacks (3.05 each), grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","90","Black Magic","アベラントウィッチ","31540113","105"
"Garland","Sinister Reincarnation","Chaos Gouge","1","Dark","PHY","Single enemy","Physical","5.40","Dark, NE","1.65","Six single attacks (0.90 each), grants [40% Damage Reduction Barrier 1] to all allies if the user has Chaos Flux level 1, causes Chaos Flux -1 to the user","Y","Lowest HP% enemy","90","Darkness","チェーンインパクト","31540292","107"
"Garland","Sinister Reincarnation","Round Edge","2","Dark","PHY","Single enemy","Physical","2.70","Dark, NE","1.65","Three single attacks (0.90 each), grants [Quick Cast 1] and Chaos Flux +1 to the user","Y","Lowest HP% enemy","90","Darkness","ラウンドエッジ","31540293","107"
"Sarah","Far-Reaching Prayer","Peaceful Exultation","1","Bard, White Magic","WHT","All allies","","","","0.01","Grants [HP Stock (1000)]/[HP Stock (2000)]/[HP Stock (3000)] if the user has Desire level 1/2/3","N","All allies","70","White Magic","平和への凱歌","31540296","1005"
"Sarah","Far-Reaching Prayer","Aria of Desire","2","Bard, White Magic","NAT","All allies","","","","1.65","Restores HP (25), grants Desire +1 to the user","N","All allies","100","Bard","想望の詠唱曲","31540297","1005"
"Echo","Faerie Tale","Breezy Cheer","1","Black Magic, Dancer","NAT","All allies","","","","0.01","Grants [High Quick Cast 1]","N","All allies","70","Dancer","はるかぜのおうえん","31540930","1015"
"Echo","Faerie Tale","Faerie's Voice","2","Black Magic, Dancer","NAT","All allies","","","","1.65","Restores HP (55) if the user has Faerie's Guidance level 1, grants [Last Stand] if the user has Faerie's Guidance level 1, restores HP (25) if the user has Faerie's Guidance level 0, causes Faerie's Guidance -1 to the user","N","All allies","100","Dancer","妖精の声","31540931","1015"
"Minwu","Holy XCIX","Diara LXVI","1","Holy","WHT","Single enemy","Magical","18.60","Holy, NE","1.65","Six single attacks (3.10 each)","Y","Lowest HP% enemy","90","White Magic","アディア66","30542252","2"
"Minwu","Holy XCIX","Dia XXXIII","2","Holy","WHT","Single enemy","Magical","9.30","Holy, NE","1.65","Three single attacks (3.10 each), grants [Holy Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","90","White Magic","ディア33","30542253","2"
"Maria","Armageddon XCIX","Break VIII","1","Earth","BLK","Single enemy","Magical","24.40","Earth, NE","1.65","4/6/8 single attacks (3.05 each) scaling with uses","Y","Lowest HP% enemy","90","Black Magic","ブレイク8","30541344","103"
"Maria","Armageddon XCIX","Inner Calm VIII","2","Black Magic","NAT","Self","","","","0.01","Grants [Dualcast Earth 1] and [Buff Earth 10% (15s)] to the user","N","Self","70","Black Magic","しゅうちゅう8","30541345","1"
"Maria","Cosmic Arrow XCIX","Earth VIII","1","Earth","BLK","Single enemy","Magical","18.30","Earth, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","アース8","31540990","103"
"Maria","Cosmic Arrow XCIX","Quicken VIII","2","Earth","BLK","Single enemy","Magical","8.10","Earth, NE","0.01","Three single attacks (2.70 each), grants [Quick Cast 3] to the user","Y","Lowest HP% enemy","70","Black Magic","クイッカー8","31540991","103"
"Firion","Full Mastery","Swordmastery","1","Knight","PHY","Single enemy","Physical","6.30","Holy, Ice, Fire, NE","1.65","5/7 single attacks (0.90 each) if user hasn't/has Proficiency, grants [Knight +30% Boost 1] to the user if user has Proficiency, removes Proficiency from the user","Y","Lowest HP% enemy","90","Knight","マスター剣技","31540040","11"
"Firion","Full Mastery","Blademastery","2","Samurai","PHY","Single enemy","Physical","6.30","Holy, Ice, Fire, NE","1.65","5/7 single attacks (0.90 each) if user hasn't/has Proficiency, grants [Samurai +30% Boost 1] to the user if user has Proficiency, removes Proficiency from the user","Y","Lowest HP% enemy","90","Samurai","マスター刀技","31540041","12"
"Firion","Algid Arsenal","Swordslash","1","Ice","PHY","Single enemy","Physical","7.20","Ice, NE","1.65","4/6/8 single attacks (0.90 each) scaling with uses","Y","Lowest HP% enemy","90","Samurai","ソードブロウ","31540907","101"
