item_name	ducats	wa_price	ducats_per_platinum_wa
Akbolto Prime Barrel	45	9.54	4.72
Akbolto Prime Blueprint	15	4.45	3.37
Akbolto Prime Link	45	4.68	9.62
Akbolto Prime Receiver	100	33.73	2.96
Akbolto Prime Set	350	93.58	3.74
Akbronco Prime Blueprint	15	3.76	3.99
Akbronco Prime Link	45	4.53	9.94
Akbronco Prime Set	60	18.71	3.21
Akjagara Prime Barrel	100	37.67	2.65
Akjagara Prime Blueprint	15	9.89	1.52
Akjagara Prime Link	45	9.63	4.67
Akjagara Prime Receiver	45	9.75	4.62
Akjagara Prime Set	350	103.45	3.38
Aklex Prime Blueprint	45	9.54	4.72
Aklex Prime Link	100	72.93	1.37
Aklex Prime Set	145	82.31	1.76
Aksomati Prime Barrel	45	9.09	4.95
Aksomati Prime Blueprint	15	3.38	4.44
Aksomati Prime Link	100	12.36	8.09
Aksomati Prime Receiver	15	7.02	2.14
Aksomati Prime Set	235	47.14	4.99
Akstiletto Prime Barrel	25	24.01	1.04
Akstiletto Prime Blueprint	100	20.53	4.87
Akstiletto Prime Link	45	11.45	3.93
Akstiletto Prime Receiver	45	29.02	1.55
Akstiletto Prime Set	285	153.69	1.85
Akvasto Prime Blueprint	100	42.86	2.33
Akvasto Prime Link	45	16.16	2.7800000000000002
Akvasto Prime Set	145	100.09	1.45
Ankyros Prime Blade	65	8.2	7.93
Ankyros Prime Blueprint	15	9.05	1.6600000000000001
Ankyros Prime Gauntlet	15	15.91	0.9400000000000001
Ankyros Prime Set	175	71.36	2.45
Ash Prime Blueprint	45	43.1	1.04
Ash Prime Chassis	15	23.84	0.63
Ash Prime Neuroptics	45	10.12	4.45
Ash Prime Set	170	206.76	0.8200000000000001
Ash Prime Systems	65	115.7	0.56
Astilla Prime Barrel	100	9.88	10.12
Astilla Prime Blueprint	45	6.68	6.74
Astilla Prime Receiver	15	8.87	1.69
Astilla Prime Set	205	40.16	5.1
Astilla Prime Stock	45	8.59	5.24
Atlas Prime Blueprint	15	4.85	3.1
Atlas Prime Chassis	45	4.99	9.03
Atlas Prime Neuroptics	100	48.85	2.05
Atlas Prime Set	205	68.13	3.01
Atlas Prime Systems	45	4.77	9.44
Ballistica Prime Blueprint	100	33.7	2.9699999999999998
Ballistica Prime Lower Limb	15	14.88	1.01
Ballistica Prime Receiver	45	9.6	4.69
Ballistica Prime Set	250	98.6	2.54
Ballistica Prime String	45	17.98	2.5
Ballistica Prime Upper Limb	45	14.24	3.16
Banshee Prime Blueprint	45	9.32	4.83
Banshee Prime Chassis	100	38.03	2.63
Banshee Prime Neuroptics	15	7.98	1.88
Banshee Prime Set	225	99.12	2.27
Banshee Prime Systems	65	50.33	1.29
Baza Prime Barrel	45	4.17	10.78
Baza Prime Blueprint	100	9.92	10.08
Baza Prime Receiver	15	3.88	3.87
Baza Prime Set	260	33.16	7.84
Baza Prime Stock	100	19.57	5.11
Bo Prime Blueprint	15	17.87	0.84
Bo Prime Handle	45	35.04	1.28
Bo Prime Ornament	15	85.45	0.18
Bo Prime Set	90	285.87	0.31
Boar Prime Barrel	45	9.41	4.78
Boar Prime Blueprint	15	15.75	0.9500000000000001
Boar Prime Receiver	15	21.23	0.71
Boar Prime Set	175	103.84	1.69
Boar Prime Stock	100	38.83	2.58
Boltor Prime Barrel	15	9.56	1.57
Boltor Prime Blueprint	100	14.52	6.89
Boltor Prime Receiver	45	7.15	6.29
Boltor Prime Set	175	49.04	3.5700000000000003
Boltor Prime Stock	15	7.48	2.01
Braton Prime Barrel	15	4.39	3.42
Braton Prime Blueprint	25	3.23	7.73
Braton Prime Receiver	45	4.5	10.0
Braton Prime Set	110	13.54	8.13
Braton Prime Stock	25	3.34	7.48
Bronco Prime Barrel	45	6.58	6.84
Bronco Prime Blueprint	15	4.75	3.16
Bronco Prime Receiver	15	9.05	1.6600000000000001
Bronco Prime Set	75	19.98	3.75
Burston Prime Barrel	45	4.48	10.04
Burston Prime Blueprint	15	3.5	4.28
Burston Prime Receiver	15	3.13	4.79
Burston Prime Set	90	11.05	8.14
Burston Prime Stock	15	4.43	3.39
Carrier Prime Blueprint	15	14.62	1.03
Carrier Prime Carapace	15	16.63	0.9
Carrier Prime Cerebrum	65	48.91	1.33
Carrier Prime Set	110	101.14	1.09
Carrier Prime Systems	15	10.19	1.47
Cernos Prime Blueprint	45	7.96	5.65
Cernos Prime Grip	15	11.87	1.26
Cernos Prime Lower Limb	100	43.06	2.32
Cernos Prime Set	200	86.4	2.31
Cernos Prime String	25	9.01	2.7800000000000002
Cernos Prime Upper Limb	15	13.35	1.12
Chroma Prime Blueprint	15	9.47	1.58
Chroma Prime Chassis	25	8.93	2.8
Chroma Prime Neuroptics	100	29.17	3.43
Chroma Prime Set	205	93.25	2.2
Chroma Prime Systems	65	26.0	2.5
Corinth Prime Barrel	100	29.93	3.34
Corinth Prime Blueprint	15	3.01	4.98
Corinth Prime Receiver	45	4.44	10.13
Corinth Prime Set	260	43.72	5.95
Corinth Prime Stock	100	9.85	10.16
Dakra Prime Blade	65	20.17	3.22
Dakra Prime Blueprint	45	13.94	3.23
Dakra Prime Handle	15	9.52	1.58
Dakra Prime Set	125	69.93	1.79
Destreza Prime Blade	100	38.87	2.5700000000000003
Destreza Prime Blueprint	45	8.87	5.07
Destreza Prime Handle	15	17.52	0.86
Destreza Prime Set	160	69.75	2.29
Dethcube Prime Blueprint	100	12.11	8.26
Dethcube Prime Carapace	45	4.44	10.13
Dethcube Prime Cerebrum	100	19.52	5.12
Dethcube Prime Set	260	51.74	5.02
Dethcube Prime Systems	15	4.44	3.38
Dual Kamas Prime Blade	100	52.58	1.9
Dual Kamas Prime Blueprint	15	11.13	1.35
Dual Kamas Prime Handle	45	25.93	1.74
Dual Kamas Prime Set	305	171.7	1.78
Ember Prime Blueprint	100	35.52	2.81
Ember Prime Chassis	15	25.8	0.58
Ember Prime Neuroptics	15	22.2	0.68
Ember Prime Set	175	134.65	1.3
Ember Prime Systems	45	21.07	2.14
Equinox Prime Blueprint	45	17.07	2.64
Equinox Prime Chassis	15	4.86	3.09
Equinox Prime Neuroptics	45	9.42	4.78
Equinox Prime Set	205	85.32	2.4
Equinox Prime Systems	100	36.46	2.74
Euphona Prime Barrel	45	9.01	4.99
Euphona Prime Blueprint	15	4.73	3.17
Euphona Prime Receiver	100	42.5	2.35
Euphona Prime Set	160	50.79	3.15
Fang Prime Blade	15	3.93	3.81
Fang Prime Blueprint	15	2.93	5.12
Fang Prime Handle	25	9.08	2.75
Fang Prime Set	95	21.74	4.37
Fragor Prime Blueprint	65	14.67	4.43
Fragor Prime Handle	65	17.06	3.81
Fragor Prime Head	15	16.09	0.93
Fragor Prime Set	145	67.91	2.14
Frost Prime Blueprint	100	70.39	1.42
Frost Prime Chassis	15	19.3	0.78
Frost Prime Neuroptics	15	9.07	1.65
Frost Prime Set	175	128.5	1.3599999999999999
Frost Prime Systems	45	16.78	2.68
Galatine Prime Blade	15	9.09	1.65
Galatine Prime Blueprint	100	48.08	2.08
Galatine Prime Handle	45	9.84	4.57
Galatine Prime Set	160	68.57	2.33
Gara Prime Blueprint	100	42.91	2.33
Gara Prime Chassis	45	11.3	3.98
Gara Prime Neuroptics	45	9.67	4.65
Gara Prime Set	205	85.88	2.39
Gara Prime Systems	15	4.75	3.16
Glaive Prime Blade	45	24.8	1.81
Glaive Prime Blueprint	100	106.5	0.9400000000000001
Glaive Prime Disc	45	29.56	1.52
Glaive Prime Set	235	201.41	1.17
Gram Prime Blade	15	6.9	2.17
Gram Prime Blueprint	45	7.87	5.72
Gram Prime Handle	100	19.61	5.1
Gram Prime Set	160	44.59	3.59
Guandao Prime Blade	15	5.58	2.69
Guandao Prime Blueprint	45	4.36	10.32
Guandao Prime Handle	100	10.53	9.49
Guandao Prime Set	175	25.23	6.93
Helios Prime Blueprint	45	7.76	5.8
Helios Prime Carapace	15	9.37	1.6
Helios Prime Cerebrum	100	54.0	1.85
Helios Prime Set	205	83.87	2.44
Helios Prime Systems	45	10.68	4.22
Hikou Prime Blueprint	15	4.5	3.33
Hikou Prime Pouch	15	13.83	1.08
Hikou Prime Set	75	56.89	1.32
Hikou Prime Stars	15	7.62	1.97
Hydroid Prime Blueprint	45	20.3	2.22
Hydroid Prime Chassis	15	10.21	1.47
Hydroid Prime Neuroptics	45	19.71	2.2800000000000002
Hydroid Prime Set	205	118.6	1.73
Hydroid Prime Systems	100	39.35	2.54
Inaros Prime Blueprint	45	4.53	9.93
Inaros Prime Chassis	45	4.65	9.67
Inaros Prime Neuroptics	100	30.05	3.33
Inaros Prime Set	205	50.19	4.08
Inaros Prime Systems	15	4.93	3.04
Ivara Prime Blueprint	45	4.8	9.37
Ivara Prime Chassis	100	19.59	5.1
Ivara Prime Neuroptics	15	4.75	3.16
Ivara Prime Set	205	41.56	4.93
Ivara Prime Systems	45	4.46	10.1
Karyst Prime Blade	100	9.94	10.06
Karyst Prime Blueprint	15	4.46	3.36
Karyst Prime Handle	45	4.47	10.07
Karyst Prime Set	160	19.36	8.26
Kavasa Prime Band	45	8.31	5.41
Kavasa Prime Buckle	65	20.2	3.22
Kavasa Prime Kubrow Collar Blueprint	45	9.63	4.67
Kavasa Prime Kubrow Collar Set	155	37.97	4.08
Kogake Prime Blueprint	45	7.7	5.85
Kogake Prime Boot	15	8.82	1.7000000000000002
Kogake Prime Gauntlet	100	29.47	3.39
Kogake Prime Set	275	98.65	2.79
Kronen Prime Blade	100	69.79	1.43
Kronen Prime Blueprint	15	8.0	1.88
Kronen Prime Handle	45	21.25	2.12
Kronen Prime Set	305	189.52	1.6099999999999999
Latron Prime Barrel	15	9.24	1.62
Latron Prime Blueprint	15	9.8	1.53
Latron Prime Receiver	15	16.91	0.89
Latron Prime Set	60	60.53	0.99
Latron Prime Stock	15	18.32	0.8200000000000001
Lex Prime Barrel	15	3.79	3.96
Lex Prime Blueprint	25	3.81	6.55
Lex Prime Receiver	15	9.37	1.6
Lex Prime Set	55	14.96	3.68
Limbo Prime Blueprint	45	10.27	4.38
Limbo Prime Chassis	100	49.67	2.01
Limbo Prime Neuroptics	100	29.58	3.38
Limbo Prime Set	260	127.34	2.04
Limbo Prime Systems	15	10.22	1.47
Loki Prime Blueprint	15	15.26	0.98
Loki Prime Chassis	45	39.22	1.15
Loki Prime Neuroptics	15	29.33	0.51
Loki Prime Set	175	483.99	0.36
Loki Prime Systems	100	321.28	0.31
Mag Prime Blueprint	100	48.82	2.05
Mag Prime Chassis	45	25.93	1.74
Mag Prime Neuroptics	15	19.84	0.76
Mag Prime Set	175	158.31	1.11
Mag Prime Systems	15	27.72	0.54
Magnus Prime Barrel	100	35.8	2.79
Magnus Prime Blueprint	15	7.63	1.97
Magnus Prime Receiver	45	8.77	5.13
Magnus Prime Set	160	64.56	2.48
Mesa Prime Blueprint	45	9.57	4.7
Mesa Prime Chassis	15	9.47	1.58
Mesa Prime Neuroptics	100	36.07	2.77
Mesa Prime Set	260	101.02	2.5700000000000003
Mesa Prime Systems	100	30.27	3.3
Mirage Prime Blueprint	100	62.12	1.6099999999999999
Mirage Prime Chassis	15	9.66	1.55
Mirage Prime Neuroptics	15	9.21	1.63
Mirage Prime Set	175	107.37	1.63
Mirage Prime Systems	45	20.89	2.15
Nami Skyla Prime Blade	100	49.62	2.02
Nami Skyla Prime Blueprint	15	20.96	0.72
Nami Skyla Prime Handle	45	23.1	1.9500000000000002
Nami Skyla Prime Set	305	186.62	1.63
Nekros Prime Blueprint	65	67.05	0.97
Nekros Prime Chassis	15	12.97	1.16
Nekros Prime Neuroptics	45	33.05	1.3599999999999999
Nekros Prime Set	225	202.35	1.11
Nekros Prime Systems	100	73.94	1.35
Nezha Prime Blueprint	45	4.61	9.75
Nezha Prime Chassis	100	23.68	4.22
Nezha Prime Neuroptics	100	19.55	5.11
Nezha Prime Set	260	52.23	4.98
Nezha Prime Systems	15	4.74	3.16
Nidus Prime Blueprint	45	31.28	1.44
Nidus Prime Chassis	100	19.76	5.06
Nidus Prime Neuroptics	100	29.66	3.37
Nidus Prime Set	260	98.41	2.64
Nidus Prime Systems	15	10.12	1.48
Nikana Prime Blade	65	41.86	1.55
Nikana Prime Blueprint	25	17.68	1.4100000000000001
Nikana Prime Hilt	100	96.05	1.04
Nikana Prime Set	190	178.02	1.07
Ninkondi Prime Blueprint	15	6.04	2.48
Ninkondi Prime Chain	45	4.68	9.61
Ninkondi Prime Handle	100	20.81	4.8100000000000005
Ninkondi Prime Set	260	60.68	4.28
Nova Prime Blueprint	45	17.93	2.51
Nova Prime Chassis	100	56.9	1.76
Nova Prime Neuroptics	15	9.86	1.52
Nova Prime Set	175	108.41	1.6099999999999999
Nova Prime Systems	15	11.15	1.34
Nyx Prime Blueprint	15	9.24	1.62
Nyx Prime Chassis	65	8.93	7.28
Nyx Prime Neuroptics	100	27.05	3.7
Nyx Prime Set	225	72.58	3.1
Nyx Prime Systems	45	7.54	5.97
Oberon Prime Blueprint	45	9.54	4.72
