Item Name	Ducats	Top Buy Order Average	Ducats per Plat
Akbolto Prime Barrel	45	2.0	22.5
Akbolto Prime Blueprint	15	0.0	inf
Akbolto Prime Link	45	1.5	30.0
Akbolto Prime Receiver	100	11.0	9.09
Akbronco Prime Blueprint	15	0.0	inf
Akbronco Prime Link	45	1.5	30.0
Akjagara Prime Barrel	100	11.0	9.09
Akjagara Prime Blueprint	15	0.0	inf
Akjagara Prime Link	45	2.0	22.5
Akjagara Prime Receiver	45	6.0	7.5
Aklex Prime Blueprint	45	5.0	9.0
Aklex Prime Link	100	52.5	1.9
Aksomati Prime Barrel	45	2.5	18.0
Aksomati Prime Blueprint	15	1.0	15.0
Aksomati Prime Link	100	10.5	9.52
Aksomati Prime Receiver	15	1.0	15.0
Akstiletto Prime Barrel	25	15.5	1.61
Akstiletto Prime Blueprint	100	8.5	11.76
Akstiletto Prime Link	45	3.5	12.86
Akstiletto Prime Receiver	45	16.0	2.81
Akvasto Prime Blueprint	100	12.5	8.0
Akvasto Prime Link	45	5.0	9.0
Ankyros Prime Blade	65	5.0	13.0
Ankyros Prime Blueprint	15	0.0	inf
Ankyros Prime Gauntlet	15	0.0	inf
Ash Prime Blueprint	45	25.0	1.8
Ash Prime Chassis	15	8.5	1.76
Ash Prime Neuroptics	45	0.0	inf
Ash Prime Systems	65	77.5	0.84
Astilla Prime Barrel	100	7.5	13.33
Astilla Prime Blueprint	45	2.0	22.5
Astilla Prime Receiver	15	0.0	inf
Astilla Prime Stock	45	2.0	22.5
Atlas Prime Blueprint	15	1.0	15.0
Atlas Prime Chassis	45	2.0	22.5
Atlas Prime Neuroptics	100	26.5	3.77
Atlas Prime Systems	45	2.0	22.5
Ballistica Prime Blueprint	100	8.0	12.5
Ballistica Prime Lower Limb	15	0.0	inf
Ballistica Prime Receiver	45	2.0	22.5
Ballistica Prime String	45	5.0	9.0
Ballistica Prime Upper Limb	45	2.0	22.5
Banshee Prime Blueprint	45	2.0	22.5
Banshee Prime Chassis	100	13.5	7.41
Banshee Prime Neuroptics	15	0.0	inf
Banshee Prime Systems	65	7.0	9.29
Baza Prime Barrel	45	2.0	22.5
Baza Prime Blueprint	100	6.5	15.38
Baza Prime Receiver	15	1.0	15.0
Baza Prime Stock	100	11.5	8.7
Bo Prime Blueprint	15	5.5	2.73
Bo Prime Handle	45	8.0	5.62
Bo Prime Ornament	15	11.0	1.36
Boar Prime Barrel	45	7.0	6.43
Boar Prime Blueprint	15	9.0	1.67
Boar Prime Receiver	15	5.0	3.0
Boar Prime Stock	100	26.5	3.77
Boltor Prime Barrel	15	3.5	4.29
Boltor Prime Blueprint	100	5.5	18.18
Boltor Prime Receiver	45	2.0	22.5
Boltor Prime Stock	15	2.0	7.5
Braton Prime Barrel	15	1.0	15.0
Braton Prime Blueprint	25	1.0	25.0
Braton Prime Receiver	45	2.0	22.5
Braton Prime Stock	25	1.0	25.0
Bronco Prime Barrel	45	2.0	22.5
Bronco Prime Blueprint	15	0.0	inf
Bronco Prime Receiver	15	0.0	inf
Burston Prime Barrel	45	2.0	22.5
Burston Prime Blueprint	15	1.0	15.0
Burston Prime Receiver	15	1.0	15.0
Burston Prime Stock	15	1.0	15.0
Carrier Prime Blueprint	15	5.0	3.0
Carrier Prime Carapace	15	0.0	inf
Carrier Prime Cerebrum	65	0.0	inf
Carrier Prime Systems	15	0.0	inf
Cernos Prime Blueprint	45	1.5	30.0
Cernos Prime Grip	15	0.0	inf
Cernos Prime Lower Limb	100	18.0	5.56
Cernos Prime String	25	0.0	inf
Cernos Prime Upper Limb	15	8.0	1.88
Chroma Prime Blueprint	15	0.0	inf
Chroma Prime Chassis	25	0.0	inf
Chroma Prime Neuroptics	100	7.5	13.33
Chroma Prime Systems	65	4.0	16.25
Corinth Prime Barrel	100	14.0	7.14
Corinth Prime Blueprint	15	0.0	inf
Corinth Prime Receiver	45	1.5	30.0
Corinth Prime Stock	100	7.5	13.33
Corvas Prime Barrel	100	7.5	13.33
Corvas Prime Blueprint	45	4.5	10.0
Corvas Prime Receiver	15	4.0	3.75
Corvas Prime Stock	15	4.0	3.75
Dakra Prime Blade	65	15.5	4.19
Dakra Prime Blueprint	45	7.0	6.43
Dakra Prime Handle	15	7.0	2.14
Destreza Prime Blade	100	31.0	3.23
Destreza Prime Blueprint	45	1.5	30.0
Destreza Prime Handle	15	5.0	3.0
Dethcube Prime Blueprint	100	7.0	14.29
Dethcube Prime Carapace	45	1.5	30.0
Dethcube Prime Cerebrum	100	7.5	13.33
Dethcube Prime Systems	15	0.0	inf
Dual Kamas Prime Blade	100	38.5	2.6
Dual Kamas Prime Blueprint	15	3.0	5.0
Dual Kamas Prime Handle	45	4.5	10.0
Ember Prime Blueprint	100	16.0	6.25
Ember Prime Chassis	15	14.0	1.07
Ember Prime Neuroptics	15	14.0	1.07
Ember Prime Systems	45	7.5	6.0
Equinox Prime Blueprint	45	8.0	5.62
Equinox Prime Chassis	15	2.0	7.5
Equinox Prime Neuroptics	45	2.0	22.5
Equinox Prime Systems	100	20.0	5.0
Euphona Prime Barrel	45	2.5	18.0
Euphona Prime Blueprint	15	0.0	inf
Euphona Prime Receiver	100	6.5	15.38
Fang Prime Blade	15	0.0	inf
Fang Prime Blueprint	15	0.0	inf
Fang Prime Handle	25	0.0	inf
Fragor Prime Blueprint	65	4.0	16.25
Fragor Prime Handle	65	5.0	13.0
Fragor Prime Head	15	9.5	1.58
Frost Prime Blueprint	100	50.0	2.0
Frost Prime Chassis	15	3.0	5.0
Frost Prime Neuroptics	15	4.0	3.75
Frost Prime Systems	45	12.5	3.6
Galatine Prime Blade	15	0.0	inf
Galatine Prime Blueprint	100	12.5	8.0
Galatine Prime Handle	45	2.0	22.5
Gara Prime Blueprint	100	10.5	9.52
Gara Prime Chassis	45	6.5	6.92
Gara Prime Neuroptics	45	2.5	18.0
Gara Prime Systems	15	2.0	7.5
Garuda Prime Blueprint	15	0.0	inf
Garuda Prime Chassis	45	0.0	inf
Garuda Prime Neuroptics	100	6.5	15.38
Garuda Prime Systems	100	38.0	2.63
Glaive Prime Blade	45	22.0	2.05
