"Relic_Name","C1","C2","C3","U1","U2","Rare","Class","Type","Refinement","C1_Raw","C2_Raw","C3_Raw","U1_Raw","U2_Raw","Rare_Raw"
"Axi A1 Relic (Intact) ","Trinity Prime Systems (25.33%)","Fragor Prime Head (25.33%)","Braton Prime Stock (25.33%)","Akstiletto Prime Barrel (11.0%)","Dual Kamas Prime Handle (11.0%)","Nikana Prime Blueprint (2.0%)","Axi","A1","Intact","Trinity Prime Systems","Fragor Prime Head","Braton Prime Stock","Akstiletto Prime Barrel","Dual Kamas Prime Handle","Nikana Prime Blueprint"
"Axi A10 Relic (Intact) ","Akbronco Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Stradavar Prime Receiver (25.33%)","Wukong Prime Chassis (11.0%)","Paris Prime Grip (11.0%)","Aksomati Prime Link (2.0%)","Axi","A10","Intact","Akbronco Prime Blueprint","Forma Blueprint","Stradavar Prime Receiver","Wukong Prime Chassis","Paris Prime Grip","Aksomati Prime Link"
"Axi A11 Relic (Intact) ","Zhuge Prime String (25.33%)","Fang Prime Blueprint (25.33%)","Burston Prime Receiver (25.33%)","Pangolin Prime Blade (11.0%)","Wukong Prime Systems (11.0%)","Atlas Prime Neuroptics (2.0%)","Axi","A11","Intact","Zhuge Prime String","Fang Prime Blueprint","Burston Prime Receiver","Pangolin Prime Blade","Wukong Prime Systems","Atlas Prime Neuroptics"
"Axi A12 Relic (Intact) ","Forma Blueprint (25.33%)","Mirage Prime Chassis (25.33%)","Kogake Prime Boot (25.33%)","Helios Prime Systems (11.0%)","Banshee Prime Blueprint (11.0%)","Akbolto Prime Receiver (2.0%)","Axi","A12","Intact","Forma Blueprint","Mirage Prime Chassis","Kogake Prime Boot","Helios Prime Systems","Banshee Prime Blueprint","Akbolto Prime Receiver"
"Axi A13 Relic (Intact) ","Forma Blueprint (25.33%)","Burston Prime Receiver (25.33%)","Inaros Prime Systems (25.33%)","Orthos Prime Blueprint (11.0%)","Pangolin Prime Blade (11.0%)","Aksomati Prime Link (2.0%)","Axi","A13","Intact","Forma Blueprint","Burston Prime Receiver","Inaros Prime Systems","Orthos Prime Blueprint","Pangolin Prime Blade","Aksomati Prime Link"
"Axi A14 Relic (Intact) ","Zakti Prime Receiver (25.33%)","Paris Prime Blueprint (25.33%)","Volnus Prime Blueprint (25.33%)","Karyst Prime Handle (11.0%)","Nidus Prime Blueprint (11.0%)","Aksomati Prime Link (2.0%)","Axi","A14","Intact","Zakti Prime Receiver","Paris Prime Blueprint","Volnus Prime Blueprint","Karyst Prime Handle","Nidus Prime Blueprint","Aksomati Prime Link"
"Axi A2 Relic (Intact) ","Lex Prime Receiver (25.33%)","Forma Blueprint (25.33%)","Lex Prime Barrel (25.33%)","Aklex Prime Blueprint (11.0%)","Lex Prime Blueprint (11.0%)","Aklex Prime Link (2.0%)","Axi","A2","Intact","Lex Prime Receiver","Forma Blueprint","Lex Prime Barrel","Aklex Prime Blueprint","Lex Prime Blueprint","Aklex Prime Link"
"Axi A3 Relic (Intact) ","Braton Prime Barrel (25.33%)","Helios Prime Carapace (25.33%)","Kogake Prime Boot (25.33%)","Hydroid Prime Neuroptics (11.0%)","Cernos Prime String (11.0%)","Akbolto Prime Receiver (2.0%)","Axi","A3","Intact","Braton Prime Barrel","Helios Prime Carapace","Kogake Prime Boot","Hydroid Prime Neuroptics","Cernos Prime String","Akbolto Prime Receiver"
"Axi A4 Relic (Intact) ","Braton Prime Stock (25.33%)","Forma Blueprint (25.33%)","Zephyr Prime Neuroptics (25.33%)","Fang Prime Handle (11.0%)","Ballistica Prime String (11.0%)","Akbolto Prime Receiver (2.0%)","Axi","A4","Intact","Braton Prime Stock","Forma Blueprint","Zephyr Prime Neuroptics","Fang Prime Handle","Ballistica Prime String","Akbolto Prime Receiver"
"Axi A5 Relic (Intact) ","Vasto Prime Barrel (25.33%)","Vasto Prime Receiver (25.33%)","Forma Blueprint (25.33%)","Vasto Prime Blueprint (11.0%)","Akvasto Prime Link (11.0%)","Akvasto Prime Blueprint (2.0%)","Axi","A5","Intact","Vasto Prime Barrel","Vasto Prime Receiver","Forma Blueprint","Vasto Prime Blueprint","Akvasto Prime Link","Akvasto Prime Blueprint"
