Class	Type	C1	C2	C3	U1	U2	Rare
Axi	A1	Trinity Prime Systems	Fragor Prime Head	Braton Prime Stock	Akstiletto Prime Barrel	Dual Kamas Prime Handle	Nikana Prime Blueprint
Axi	A10	Akbronco Prime Blueprint	Forma Blueprint	Stradavar Prime Receiver	Wukong Prime Chassis	Paris Prime Grip	Aksomati Prime Link
Axi	A11	Zhuge Prime String	Fang Prime Blueprint	Burston Prime Receiver	Pangolin Prime Blade	Wukong Prime Systems	Atlas Prime Neuroptics
Axi	A12	Forma Blueprint	Mirage Prime Chassis	Kogake Prime Boot	Helios Prime Systems	Banshee Prime Blueprint	Akbolto Prime Receiver
Axi	A13	Forma Blueprint	Burston Prime Receiver	Inaros Prime Systems	Orthos Prime Blueprint	Pangolin Prime Blade	Aksomati Prime Link
Axi	A14	Zakti Prime Receiver	Paris Prime Blueprint	Volnus Prime Blueprint	Karyst Prime Handle	Nidus Prime Blueprint	Aksomati Prime Link
Axi	A2	Lex Prime Receiver	Forma Blueprint	Lex Prime Barrel	Aklex Prime Blueprint	Lex Prime Blueprint	Aklex Prime Link
Axi	A3	Braton Prime Barrel	Helios Prime Carapace	Kogake Prime Boot	Hydroid Prime Neuroptics	Cernos Prime String	Akbolto Prime Receiver
Axi	A4	Braton Prime Stock	Forma Blueprint	Zephyr Prime Neuroptics	Fang Prime Handle	Ballistica Prime String	Akbolto Prime Receiver
Axi	A5	Vasto Prime Barrel	Vasto Prime Receiver	Forma Blueprint	Vasto Prime Blueprint	Akvasto Prime Link	Akvasto Prime Blueprint
Axi	A6	Orthos Prime Handle	Braton Prime Stock	Chroma Prime Blueprint	Zhuge Prime Blueprint	Tipedo Prime Ornament	Atlas Prime Neuroptics
Axi	A7	Carrier Prime Systems	Braton Prime Blueprint	Akstiletto Prime Receiver	Fragor Prime Blueprint	Forma Blueprint	Ash Prime Systems
Axi	A8	Pyrana Prime Barrel	Braton Prime Stock	Equinox Prime Chassis	Gram Prime Blueprint	Forma Blueprint	Aksomati Prime Link
Axi	A9	Lex Prime Blueprint	Rubico Prime Stock	Gram Prime Blade	Ivara Prime Systems	Akbronco Prime Link	Atlas Prime Neuroptics
Axi	B1	Euphona Prime Blueprint	Ash Prime Chassis	Fang Prime Blade	Cernos Prime Blueprint	Kavasa Prime Buckle	Banshee Prime Systems
Axi	B2	Fragor Prime Head	Sybaris Prime Blueprint	Fang Prime Blade	Forma Blueprint	Orthos Prime Blueprint	Banshee Prime Systems
Axi	B3	Paris Prime Lower Limb	Stradavar Prime Stock	Forma Blueprint	Zhuge Prime Receiver	Atlas Prime Chassis	Baza Prime Stock
Axi	B4	Aksomati Prime Blueprint	Akjagara Prime Blueprint	Paris Prime Lower Limb	Ivara Prime Blueprint	Karyst Prime Handle	Baza Prime Blueprint
Axi	C1	Trinity Prime Neuroptics	Vectis Prime Barrel	Lex Prime Receiver	Orthos Prime Blueprint	Forma Blueprint	Cernos Prime Lower Limb
Axi	C2	Forma Blueprint	Trinity Prime Systems	Braton Prime Blueprint	Silva & Aegis Prime Blade	Fragor Prime Handle	Cernos Prime Lower Limb
Axi	C3	Helios Prime Carapace	Forma Blueprint	Hydroid Prime Chassis	Banshee Prime Blueprint	Pyrana Prime Receiver	Chroma Prime Systems
Axi	C4	Braton Prime Blueprint	Hydroid Prime Chassis	Pyrana Prime Barrel	Sybaris Prime Receiver	Kogake Prime Blueprint	Chroma Prime Systems
Axi	C5	Braton Prime Barrel	Panthera Prime Blueprint	Tekko Prime Gauntlet	Tipedo Prime Ornament	Akbronco Prime Link	Corinth Prime Barrel
Axi	C6	Pangolin Prime Handle	Karyst Prime Blueprint	Forma Blueprint	Pandero Prime Barrel	Ivara Prime Systems	Corinth Prime Barrel
Axi	C7	Bronco Prime Blueprint	Magnus Prime Blueprint	Lex Prime Receiver	Volnus Prime Head	Tenora Prime Stock	Corinth Prime Barrel
