tier relicName itemName chance
Axi A1 "Trinity Prime Systems Blueprint" 25.33
Axi A1 "Fragor Prime Head" 25.33
Axi A1 "Braton Prime Stock" 25.33
Axi A1 "Akstiletto Prime Barrel" 11.0
Axi A1 "Dual Kamas Prime Handle" 11.0
Axi A1 "Nikana Prime Blueprint" 2.0
Axi A10 "Akbronco Prime Blueprint" 25.33
Axi A10 "Forma Blueprint" 25.33
Axi A10 "Stradavar Prime Receiver" 25.33
Axi A10 "Wukong Prime Chassis Blueprint" 11.0
Axi A10 "Paris Prime Grip" 11.0
Axi A10 "Aksomati Prime Link" 2.0
Axi A11 "Zhuge Prime String" 25.33
Axi A11 "Fang Prime Blueprint" 25.33
Axi A11 "Burston Prime Receiver" 25.33
Axi A11 "Pangolin Prime Blade" 11.0
Axi A11 "Wukong Prime Systems Blueprint" 11.0
Axi A11 "Atlas Prime Neuroptics Blueprint" 2.0
Axi A12 "Forma Blueprint" 25.33
Axi A12 "Mirage Prime Chassis Blueprint" 25.33
Axi A12 "Kogake Prime Boot" 25.33
Axi A12 "Helios Prime Systems" 11.0
Axi A12 "Banshee Prime Blueprint" 11.0
Axi A12 "Akbolto Prime Receiver" 2.0
Axi A13 "Forma Blueprint" 25.33
Axi A13 "Burston Prime Receiver" 25.33
Axi A13 "Inaros Prime Systems Blueprint" 25.33
Axi A13 "Orthos Prime Blueprint" 11.0
Axi A13 "Pangolin Prime Blade" 11.0
Axi A13 "Aksomati Prime Link" 2.0
Axi A14 "Zakti Prime Receiver" 25.33
Axi A14 "Paris Prime Blueprint" 25.33
Axi A14 "Volnus Prime Blueprint" 25.33
Axi A14 "Karyst Prime Handle" 11.0
Axi A14 "Nidus Prime Blueprint" 11.0
Axi A14 "Aksomati Prime Link" 2.0
Axi A2 "Lex Prime Receiver" 25.33
Axi A2 "Forma Blueprint" 25.33
Axi A2 "Lex Prime Barrel" 25.33
Axi A2 "Aklex Prime Blueprint" 11.0
Axi A2 "Lex Prime Blueprint" 11.0
Axi A2 "Aklex Prime Link" 2.0
Axi A3 "Braton Prime Barrel" 25.33
Axi A3 "Helios Prime Carapace" 25.33
Axi A3 "Kogake Prime Boot" 25.33
Axi A3 "Hydroid Prime Neuroptics Blueprint" 11.0
