"Name","Realm","Type","Synergy","Combine","Rarity","Level","ATK","DEF","MAG","RES","MND","ACC","EVA","Effect","Character","Soul Break","Legend Materia","Brar","Blv","Batk","Bdef","Bmag","Bres","Bmnd","Bacc","Beva","Mrar","Mlv","Matk","Mdef","Mmag","Mres","Mmnd","Macc","Meva","ID","GL","Season","Group","Random Passive Effects"
"Mythril Knife","I","Dagger","","","S","50","268","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","164","","","","","95","","S","50","268","","","","","95","","21201114","✓","","",""
"Orichalcum","II","Dagger","","","S","50","268","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","164","","","","","95","","S","50","268","","","","","95","","21201031","✓","","",""
"Gladius","III","Dagger","","","S","50","135","0","268","0","87","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","83","","164","","55","95","","S","50","135","","268","","87","95","","21201111","✓","","",""
"Triton's Dagger","IV","Dagger","","","S","50","268","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","164","","","","","95","","S","50","268","","","","","95","","21201058","✓","","",""
"Man-Eater","V","Dagger","","","S","50","268","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","164","","","","","95","","S","50","268","","","","","95","","21201136","✓","","",""
"Zwill Crossblade","VI","Dagger","","","S","50","268","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","164","","","","","95","","S","50","268","","","","","95","","21201082","✓","","",""
"Mage Masher","IX","Dagger","","","S","50","268","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","164","","","","","95","","S","50","268","","","","","95","","21201037","✓","","",""
"Thief Blade","X","Dagger","","","S","50","268","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","164","","","","","95","","S","50","268","","","","","95","","21201051","✓","","",""
"Lust Dagger","XI","Dagger","","","S","50","268","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","164","","","","","95","","S","50","268","","","","","95","","21201096","✓","","",""
"Shikari Nagasa","XII","Dagger","","","S","50","268","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","164","","","","","95","","S","50","268","","","","","95","","21201088","✓","","",""
"Yoshimitsu","XIV","Dagger","","","S","50","268","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","164","","","","","95","","S","50","268","","","","","95","","21201056","✓","","",""
"Avengers","XV","Dagger","","","S","50","268","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","164","","","","","95","","S","50","268","","","","","95","","21201134","✓","","",""
"Orichalcum Dirk","FFT","Dagger","","","S","50","268","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","164","","","","","95","","S","50","268","","","","","95","","21201113","✓","","",""
"Ogrenyxes","Type-0","Dagger","","","S","50","135","0","148","0","268","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","83","","86","","164","95","","S","50","135","","148","","268","95","","21201128","✓","","",""
"Air Knife","-","Dagger","","","S","50","300","0","0","0","0","95","0","Wind damage +20%","","","","S","50","221","","","","","95","","S","50","300","","","","","95","","21201045","✓","","",""
"Assassin's Dagger","-","Dagger","","","S","50","151","0","300","0","97","95","0","Dark damage +20%","","","","S","50","93","","221","","62","95","","S","50","151","","300","","97","95","","21201023","✓","","",""
"Basilisk Claw","-","Dagger","","","S","50","151","0","300","0","97","95","0","Poison damage +20%","","","","S","50","93","","221","","62","95","","S","50","151","","300","","97","95","","21201062","✓","","",""
"Behemoth Knife","-","Dagger","","","S","50","300","0","0","0","0","95","0","Earth damage +20%","","","","S","50","221","","","","","95","","S","50","300","","","","","95","","21201033","✓","","",""
"Dagger of Resolve","-","Dagger","","","S","50","151","0","300","0","97","95","0","Lightning damage +20%","","","","S","50","93","","221","","62","95","","S","50","151","","300","","97","95","","21201090","✓","","",""
"Fire Fang","-","Dagger","","","S","50","151","0","300","0","97","95","0","Fire damage +20%","","","","S","50","93","","221","","62","95","","S","50","151","","300","","97","95","","21201069","✓","","",""
"Dancing Daggers","-","Dagger","","","S","50","151","0","300","0","97","95","0","Holy damage +20%","","","","S","50","93","","221","","62","95","","S","50","151","","300","","97","95","","21201126","✓","","",""
"Parrying Daggers","-","Dagger","","","S","50","151","0","166","0","300","95","0","Holy damage +20%","","","","S","50","93","","96","","221","95","","S","50","151","","166","","300","95","","21201145","✓","","",""
"Gladius","-","Dagger","","","S","50","300","0","0","0","0","95","0","Holy damage +20%","","","","S","50","221","","","","","95","","S","50","300","","","","","95","","21201077","✓","","",""
